Title,PropertySize,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
پنت هاوس/بزرگمهر/تاپ لوکیشن/قابل تهاتر,400,13٬450٬000٬000 تومان,33٬625٬000 تومان,3,1403,5,6,تعداد واحد در طبقه: ۱ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | جنس کف سرامیک,"با سلام خدمت همشهریان عزیز
______________________________

⚜️یک واحد پنت هاوس بسیار شیک و مجلل در خیابان بزرگمهر
▫️▪️▫️▪️▫️▪️▫️▪️▫️▪️▫️▪️▫️▪️▫️▪️▫️
⚜️لوکیشن بسیار عالی
⚜️ساختمان لوکس 
⚜️350 متر زیربنا
⚜️100 متر حیاط فوق کاربردی
⚜️3 خواب بزرگ 30 متری و مستر دار
⚜️ویو چشم نواز
⚜️تمام خواب ها نورگیری عالی
⚜️سالن سرتاسر پرده خور
⚜️مهندسی ساز
⚜️ارزنده و شیک
⚜️آشپزخانه بانو پسند
⚜️دسترسی عالی به تمام امکانات رفاهی
⚜️نورپردازی
⚜️هوشمند سازی
⚜️مجهز به برق اضطراری برای واحد و اسانسور مخصوص به طبقه

⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️


▫️انتخاب طلایی برای افراد سخت پسند
▫️ساختمان کاملا مهندسی ساز 
▫️نمای خاص و منحصر به فرد 
▫️تمامی ساکنان این ساختمان پزشک هستند
__________________________________________
جای گذاری جکوزی روباز ، دوش صحرایی ، روف گاردن ، باربیکیو انجام شده

▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️
 تهاتر با واحد اپارتمان و ماشین نیز انجام می شود


خرید و فروش مطمئن و تضمینی

تک بازدید پسند می کنید



⚪️بازدید همه روزه⚪️

⚜️کارگزاری مسکن تاج⚜️",https://divar.ir/v/پنت-هاوس-بزرگمهر-تاپ-لوکیشن-قابل-تهاتر/wZjiptzX,2025-02-15
فروش آپارتمان 150 متری 3 خوابه بزرگمهر 6,150,4٬500٬000٬000 تومان,30٬000٬000 تومان,3,1400,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: قول‌نامه‌ای | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | تأمین‌کننده آب گرم پکیج,آپارتمان یازده واحدی میباشد  واحد سمت حیاط هست کولر سلولزی . پرده .گاز  هود دارد .دارای حمام مستر داخل اتاق خواب میباشد.,https://divar.ir/v/فروش-آپارتمان-۱۵۰-متری-۳-خوابه-بزرگمهر-6/wZtyJJHD,2025-02-15
فروش خانه ویلایی 210 متری 2 خوابه,210,300,6٬600٬000٬000 تومان,2,1375,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با عرض سلام و احترام 
ملک مورد نظر سه واحد است و سه نبش کوچه است سه تا امتیاز آب 3 تا برق و 3 تا گاز
و تلفن دو خط
طبقه همکف دو خواب متراژ 210 متر سند تک برگ 
بنا به 1394
طبق اول دو واحد 95 متری  دو خواب مفید
طبقه اول سال ساخت 1399 فول امکانات سرویس بهداشتی ایرانی و فرنگی 
کف سرامیک شوفاژ و پنجره های دوجداره کشویی نسل جدید یوپی وی سی درب ضد سرقت و هر دو واحد رهن و اجاره هست مبلغ رهن از مبلغ کم میشود
قیمت به ارزش زمین و پول رهن لحاظ شده است  معاوضه ندارم فقط نقد",https://divar.ir/v/فروش-خانه-ویلایی-۲۱۰-متری-۲-خوابه/wZoqZzYd,2025-02-15
زمین حاشیه بلوار سپاه دو نبش ( غدیرشهر ),157,157,111٬111٬111 تومان,بدون اتاق,1403,Not Found,Not Found,not found,not found,"❌ دپارتمان و مشاور املاک کامران  ❌

️ادرس❓غدیرشهر بلوار ولایت نرسیده به بلوار سپاه جنب مجتمع مسکونی معمار ️

☎️تماس ساعت 1 ظهر الی 10 شب
⏰مراجعه حضوری 4بعدظهر الی 8 شب

⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
 ↩️ توضیحات =

1⃣زمین واگذاری تعاونی سپاه 
2️⃣فاز یک سپاه 
3️⃣حاشیه بلوار اصلی سپاه 
4️⃣تجاری مسکونی 
5️⃣زمین دونبش بلوار40 متری و کوچه 6 متری 


⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

❌ دپارتمان و مشاور املاک کامران  ❌

️ادرس❓غدیرشهر بلوار ولایت نرسیده به بلوار سپاه جنب مجتمع مسکونی معمار ️

☎️تماس ساعت 1 ظهر الی 10 شب
⏰مراجعه حضوری 4بعدظهر الی 8 شب",https://divar.ir/v/زمین-حاشیه-بلوار-سپاه-دو-نبش-غدیرشهر/gZ7Umgbn,2025-02-15
زمین مرزبانی جنب غدیر شهر روبروی مسجد,Not found,212 متر,400٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"زمبن مرزبانی دویست متری
روبروی طرح مسجد و نزدیک فضای سبز
شمالی
معبر 10 متری
واریزی کامل
تخیف پای قولنامه 
وام ساخت تعلق میگیرد
بدون بدهی به تعاونی
ساعت مراجعه حضوری 
صبح از 10 تا 1 
بعد از ظهر 3 تا 8 شب
اطلاعات بیشتر تماس 
ادرس ورودی غدیر شهر از طرف تامین اجتماعی بلوار  ولایت روبروی معمار",https://divar.ir/v/زمین-مرزبانی-جنب-غدیر-شهر-روبروی-مسجد/wZ_1nk5l,2025-02-15
فروش آپارتمان 173 متری 3 خوابه,173,3٬550٬000٬000 تومان,20٬520٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"⚜️⚜️املاک رز آبی ⚜️⚜️
‏___________BLUE_____________ROSE________
   
   ⭕ خرید و فروش مطمئن و سرمایه گذاری امن⭕
                (  با مشاورین ملکی رز آبی)

___________ ⚜️ مشخصات فایل ⚜️_____________

✳️ آپارتمان خام زیباشهر 

⚜️173 متری    
⚜️موقعیت زمین: فوق العاده روبه فضای سبز  
⚜️پارکینگ نیمه رمپ   
⚜️واقع در طبقه : 1 مهندسی 
⚜️3 خواب ( 1 خواب مستر ) 
⚜️خوش نقشه 
⚜️نورگیر 
 ⚜️رو به نما 
⚜️مرحله اجرایی : اماده تحویل
 ⚜️تراکم واحد :13 واحدی 
⚜️تراس بزرگ 

✳️امکانات :
⚜️تحویل واحد به صورت خام - پنجره های pvc- لوله کشی آب و پکیج پنج لایه -درب ضد سرقت - آسانسور 6 نفره ایتالیایی - مشاعات سنگ و سرامیک(با بهترین متریال) - روشنایی کامل -آیفون تصویری …

♦️ آدرس ملک : زیباشهر (تقاطع شورا و نصر ) 
 
___________✳️ توضیحات تکمیلی ✳️_____________

✳️سازنده معتبر 
✳️شرایط پرداخت :  قابل مذاکره و قابل تهاتر با ماشین 
_______________________________________________  
 با مشاورین حقوقی و ملکی رز آبی مطمعن خرید کنید 
⭕ شعبه مرکزی ( تقاطع پیامبر اعظم و شهید اسدی زاده)",https://divar.ir/v/فروش-آپارتمان-۱۷۳-متری-۳-خوابه/wZv-hHf0,2025-02-15
فروش آپارتمان 180 متری راسته جانبازان,180,6٬300٬000٬000 تومان,35٬000٬000 تومان,3,1403,4,7,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"دپارتمان املاک باور

یک واحد آپارتمان واقع در جانبازان به صورت خام به فروش میرسد
180 متری
طبقه 4
رو به نما 
راسته اصلی جانبازان
سه خواب
واحد به صورت خام
موقعیت عالی 
سالن دلباز و نورگیر 

موارد مشابه موجود میباشد
برای کسب اطلاعات بیشتر با ما در ارتباط باشید
مدیریت:خانم فروغی 
مشاور: وحید میر
آدرس: نبش بزرگمهر 20 دپارتمان املاک باور

از ما بهترین ها را بخواهید این شعار نیست باور ماست",https://divar.ir/v/فروش-آپارتمان-۱۸۰-متری-راسته-جانبازان/wZPCEScV,2025-02-15
فروش آپارتمان 170 متری جانبازان,170,5٬200٬000٬000 تومان,30٬588٬000 تومان,3,1403,4,6,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام 
واحد 170 متر
سه خواب (مستر)
رو به نما
سازنده معتبر
لوکیشن قوی
ساختمان به روز 
واحد خام به صورت فول هم موجود است
پارکینگ انباری آسانسور
طبقات دو واحدی
مجتمع 15 واحدی
تحویل دو ماه آینده
ورودی 80 درصد


مشاور و همراه شما خانم خمر
ادرس دفتر نبش بزرگمهر 2 املاک گاندی",https://divar.ir/v/فروش-آپارتمان-۱۷۰-متری-جانبازان/wZ-9a-Mm,2025-02-15
آپارتمان 175متر تک واحدی/راسته جعفری/شخصی ساز,175,3٬850٬000٬000 تومان,22٬000٬000 تومان,3,1403,2,4,تعداد واحد در طبقه: ۱ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✅ یک سرمایه گذاری فوق العاده ✅

 مالک،فروشنده واقعی 

✨ یک واحد آپارتمان خام شخصی ساز بسیار استثنایی بر خیابان به فروش می‌رسد ✨

⭕ توجه کنید که این ملک :

⚜️ کم تراکم 
⚜️ تک واحدی کلا 4 واحد
⚜️ با نور مستقیم در پذیرایی و اتاق ها
⚜️ و متریال های به روز و مدرن
⚜️ در پلانی باز برای چیدمان لوازم و مبلمان شما
⚜️سه خواب(2 خواب مستر)
⚜️کناف و نورپردازی

✅جهت مشاوره تخصصی رایگان، رزرو وقت بازدید و <<استعلام فایل های شکار منطقه>> همین حالا با ما تماس بگیرید ✅

〽️ مشاور ملکی شما: عودی〽️
⭕⭕ پاسخگویی .فقط. در  ساعات 10 تا 13 ____ 16 تا 21 غیر از ایام تعطیل ⭕⭕

◀️ فقط با یک تماس، بهترین ملک را با مناسبترین قیمت و شرایط، برای شما خریداری میکنم ▶️",https://divar.ir/v/آپارتمان-175متر-تک-واحدی-راسته-جعفری-شخصی-ساز/wZOiWx6Z,2025-02-15
ویلایی دو طبقه فول امکانات حاشیه دانشجو,360,250,13٬700٬000٬000 تومان,4,1391,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"«««دپارتمان املاک آبده»»»
مشاور شما: شهریار کیخا 
————————————————————-
هال و پذیرایی 60متر کاملا فرش خور
آشپزخانه 30متری 
هرطبق دوبلکس دوخواب 15متری و 12متری
جای پارک برای 5 ماشین
شوفاژ و پکیج 
کف سرامیک
17متر مغازه تجاری 
درب ضد سرقت 
کاملا نورگیر 
دارای کمد دیواری
قابل تهاتر با اپارتمان در خیابان دانشگاه 

————————————————————-
آدرس املاک : ابتدای مزاری دور فلکه شهید فهمیده املاک آبده
(انتخاب بر اساس توان شما و هنر ما)",https://divar.ir/v/ویلایی-دو-طبقه-فول-امکانات-حاشیه-دانشجو/wZOGmj6c,2025-02-15
فروش آپارتمان 100 متری 2 خوابه,100,600٬000٬000 تومان,6٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,فروش امتیاز اپارتمان مسکن‌ملی زاهدان جهاد با 300 واریزی و تحویل تابستان سال اینده بهترین تعاونی سازنده و بهترین موقعیت وامم دارد‌ک‌بعد تحویل شروع میشود,https://divar.ir/v/فروش-آپارتمان-۱۰۰-متری-۲-خوابه/wZqSSXIi,2025-02-15
خانه دو طبقه کامل شیرآباد آزادی 38 بعد از مسجد,115,115,1٬350٬000٬000 تومان,2,1394,Not Found,Not Found,سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن ندارد | سرویس بهداشتی ایرانی | تأمین‌کننده آب گرم آبگرم‌کن,"سلام خونه دو طبقه 115 متر
کامل 
سقف طبقه اول تیرچه و بلوک / سقف طبقه دوم فوم و آهن
هر دو طبقه گچ / سرامیک / کاشی/ کابینت / شیرآلات بهداشتی 
شیرآباد آزادی 38 بعد از مسجد حضرت اسماعیل میلان 17 دارم
طرف ورودی همت آباد ( تو نقشه لوکیشن مشخصه 
کوچه ماشین رو خونه ماشین کوچه بن بست هستش تو عکس مشخص است 
طبقه اول کرایه نشین هست پیش 50 تومن کرایه 3
طبقه بالا خودم هستم
 هر طبقه دارای دو خواب پذیرایی  و آشپزخانه می‌باشد 
دارای کنتور برق به اسم خودم 
تو کوچه گاز اومده همسایه ها گاز کشی کردن
سقف ایزوگام شرق
تانکر 2000 لیتری 
فروش به دلیل نیاز مالی اگه کسی محدوده  مجدیه یا باقری  خونه قیمت پایین تر داشت معامله میکنم و مابقی سر میگیرم
قیمت پایین گفتم فروش بره",https://divar.ir/v/خانه-دو-طبقه-کامل-شیرآباد-آزادی-38-بعد-از-مسجد/wZw2VFpD,2025-02-15
فروش آپارتمان 121 متری خیابان انقلاب,Not Found,Not Found,12٬148٬000 تومان,2,1393,3,3,تعداد واحد در طبقه: ۵ | سند: سایر | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,Not Found,Not Found,2025-02-15
