Title,PropertySize,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,exchangeable,Description,URL,CrawlDate
چشمه توتی فروش امتیاز صداوسیما آپارتمان 130 متری,130,2٬900٬000٬000 تومان,22٬307٬000 تومان,2,1403,3,4,تعداد واحد در طبقه: ۲ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن,بله,"فروش فوری امتیاز امتیاز زیر قیمت بازار 
موقعیت ملک بسیار عالی 
دارای سند تک برگ
قیمت کارشناسی ملک الان 3میلیارد و دویست هست
به دلیل مشکلات مالی 2میلیارد و نهصد میدم",https://divar.ir/v/چشمه-توتی-فروش-امتیاز-صداوسیما-آپارتمان-۱۳۰-متری/wZuyvxAI,2025-02-15
115متر/کوچه پارک رستم/دوکله نور/فوق شیک,115,9٬000٬000٬000 تومان,78٬260٬000 تومان,2,1403,3,4,جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی,بله,"دپارتمان املاک کارشناس (اشراق شمالی)
✅ اپارتمان 115 متر رستم شیرازی لوکیشن فوق العاده
✅مشخصات:

✔️متراژ واحد:115متر
✔️نورگیری: شمالی جنوبی مالامال از نور
✔️ تراس بزرگ
✔️ خوش نشین و افتاب مستقیم
✔️ 2 خواب بدون پرتی همراه مستر
✔️ پنجره قدی و سرتاسری
✔️سالن بزرگ
✔️ ویو دار
✔️ اشپزخانه بزرگ و رو به افتاب
✔️ مشاعات تمام سنگ
✔️ دسترسی عالی
✔️ مشاعات هتلینگ
✔️ قیمت فوق العاده

✅توضیحات تکمیلی:
✔ بسیار خوش نقشه و خوش ساخت با بهترین متریال روز
✔ بهترین گزینه برای لوکس نشینان و سخت پسند ها
✔ دسترسی بسیار عالی
✔ این ملک برای شماست اگر شاهانه زندگی میکنید



✔️برای بازدید این ملک همین الان تماس بگیرید .
مشاور شما اقای عشوری",https://divar.ir/v/115متر-کوچه-پارک-رستم-دوکله-نور-فوق-شیک/wZwS0hEw,2025-02-15
فروش آپارتمان 101 متری در آپادانا اول کوی آیینه,101,7٬500٬000٬000 تومان,74٬257٬000 تومان,2,1403,1,2,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,"ملک مسکونی به مساحت 356 متر مربع که در این ملک جنوبی مجموعا یک واحد 156 متری همکف و دو واحد 100 متری طبقه اول می باشد . این ساختمان متعلق به 35 سال پیش است که در سال جاری هر سه واحد بصورت کامل و بسیار لوکس بازسازی گردیده . واحد مدنظر 101 متری طبقه اول است .
درصورت نیاز به اطلاعات بیشتر با این شماره موبایل تماس بگیرید 
***********",https://divar.ir/v/فروش-آپارتمان-۱۰۱-متری-در-آپادانا-اول-کوی-آیینه/wZv-wEfH,2025-02-15
کلنگی430مترجنوبی‌ ملاصدرا مرداویج‌ سعادت‌اباد,Not found,430 متر,137٬600٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"باسلام

کلنگی430متر جنوبی
2طبقه قابل سکونت

تاپ لوکیشن ملاصدرا

ارتفاع4 روپیلوت 
مناسب سکونت و ساخت
طول وعرض عالی برای ساخت

مشاور وکارشناس ملکی منطقه 5و6 (فخاری)

(موارد مشابه با بودجه شما موجود است)",https://divar.ir/v/کلنگی۴۳۰مترجنوبی-ملاصدرا-مرداویج-سعادت-اباد/wZjuEXBx,2025-02-15
فروش باغ 3100 متری در بهارستان ـ روران ـ کروه,Not found,3٬100 متر,6٬820٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"دارای شرایط مناسب برای سرمایه‌گذاری دارای ابعاد 70×45
در پروسه دریافت سند تک برگ
مکان باغ: روران -کروه - مجموعه باغی چنارستان
در صورت نیاز به اطلاعات بیشتر تماس بگیرید یا پیام دهید
واتساپ روی خط ارائه شده، فعال هست",https://divar.ir/v/فروش-باغ-۳۱۰۰-متری-در-بهارستان-ـ-روران-ـ-کروه/wZfGoK7v,2025-02-15
فروش آپارتمان/شهیدصادقیان/ملک‌شهر,73,3٬200٬000٬000 تومان,43٬835٬000 تومان,2,1394,3,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,"آپارتمان نقلی بسیار خوش نقشه
در بهترین لوکیشن شهید صادقیان
دسترسی عالی به خیابان اصلی 
مناسب برای سرمایه گذاری 
فول امکانات 
>>>>>>>>>>>>>زیر قیمت بازار<<<<<<<<<<<
قابلیت اخذ وام تا مبلغ 1 میلیارد تومان 
قابلیت رهن کامل تا مبلغ450میلیون تومان
تنها با پرداخت 1/700میلیارد خانه دار شوید
   [[[[[[[[[[[[[[[[[[[[[[املاک بزرگ Vip]]]]]]]]]]]]]]]]]]
مشاور شما ؛آشوری",https://divar.ir/v/فروش-آپارتمان-شهیدصادقیان-ملک-شهر/wZwyTCFF,2025-02-15
Not Found,Not Found,Not Found,55٬555٬000 تومان,Not Found,1389,Not Found,4,تعداد واحد در طبقه: ۶ | سند: تک‌برگ | جهت ساختمان: شرقی | وضعیت واحد: بازسازی نشده,Not Found,بله,Not Found,Not Found,Not Found
فروش زمین در هفتشویه,Not found,160 متر,770٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,خیر,"زمین 160 متری دو نبش کنار خیابان 18 متری و کوچه 10متری،فعلا کاربری کشاورزی،ولی روبروش ساخت شده و قراره تغییر کاربری داده بشه به مسکونی.برای سرمایه گذاری عالیه، قولنامه ی معتبر
تخفیف جزئی پایه معامله",https://divar.ir/v/فروش-زمین-در-هفتشویه/wZwegci4,2025-02-15
فروش آپارتمان 144 متری 1 خوابه طبقه 2 در ناصرخسرو,144,4٬000٬000٬000 تومان,27٬777٬000 تومان,1,1402,2,2,سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,"سلام 2طبفه کل زمین 96متر می‌باشد که 72متر در 2طبقه مجوز دارد و پایین طبقه هم گف امکانت دارد وفعلا به صورت انباری استفاده میشود و درب برقی دارد میتوانید ساخت کنید لوله کشی گاز و آب وپکچ شده  
وطبقه بالا  امکان دوخوابه دیگر دارد با کما تشکر از سایت دیوار",https://divar.ir/v/فروش-آپارتمان-۱۴۴-متری-۱-خوابه-طبقه-۲-در-ناصرخسرو/wZvaZiny,2025-02-15
فروش آپارتمان 100 متری در شهر بهارستان,100,2٬750٬000٬000 تومان,27٬500٬000 تومان,2,1393,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,"♦️فروش آپارتمان 100 متری 

️دوخوابه 

️طبقه اول با آسانسور 

️هر طبقه دو واحد 

️پارکینگ مسقف و انباری 

️دارای سند شش دانگ تک برگ

️مجتمع دارای نگهبانی 24 ساعته و امنیت عالی


واقع در شهر بهارستان خیابان الفت شرقی چهارراه آزادی 


((جهت کسب اطلاعات بیشتر تماس حاصل فرمایید .))


( موارد مشابه تو این رنج قیمتی موجود است .)",https://divar.ir/v/فروش-آپارتمان-۱۰۰-متری-در-شهر-بهارستان/wZwyEc56,2025-02-15
فروش آپارتمان 380 متری 5 خوابه/تکواحدی/,380,60٬000٬000٬000 تومان,157٬894٬000 تومان,+4,1395,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,خیر,"'                      'با عرض سلام'
____________
✅️سه طرف نور برند
✅️5 خواب با نور مستقیم
✅️4بالکن کاربردی
✅️پلان نقشه مهندسی و بی نظیر
✅️فایلینگ ملاصدرا  مرداویج  فرایبورگ تو هر رنج قیمتی تکمیل 
________
                            ونهری
                   بازار املاک چهارخانه

برای فروش ملک خود، عدد 11 را به همین شماره پیام دهید تا در اسرع وقت با شما تماس بگیریم.",https://divar.ir/v/فروش-آپارتمان-۳۸۰-متری-۵-خوابه-تکواحدی/wZwqkgGI,2025-02-15
آپارتمان70متر(شیک‌وبازسازی‌شده)خ‌احمدآباد,70,2٬900٬000٬000 تومان,41٬428٬000 تومان,2,1393,2,3,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,"✅آپارتمان70متر《 شیک و پرنور》
❌️بسیار خوش نقشه و شخصی ساز❌️
⚠️فروشنده واقعی⚠️

✅️خیابان احمدآباد پلاک سوم خیابان
✅️طبقه دوم
✅️کل مجموعه 3طبقه در 9 واحد هست
✅️2طرف نور《بانور عالی》
✅️2خوابه《هرخواب دارای پنجره و نورکافی》
✅️کابینت‌ها《هایگلاس》شیک 
✅️آشپزخانه شیک 
✅️کاغذدیواری شیک
✅️سالن پرده خور و پرنور
⬅️سالن بزرگ《مناسب هرنوع چینشی》
✅️کمددیواری اتاقها《ام‌دی‌اف》شیک و ب اندازه کافی
✅️کف سرامیک
⬅️تراس در سالن《باویوی باز》
⭐️سرمایش کولرآبی 
✅️گرمایش پکیج
✅️آسانسور و انباری دارد
✅️پارکینگ دارد

⭐️سندآماده《تک برگ》

✅️دربهترین موقعیت مکانی
✅️دسترسی سریع ب تمام امکانات
✅️درمحیطی آرام با همسایه‌های فوق‌العاده

❌️مبلغ قابل مذاکره همزمان با عقد قرارداد❌️

‼️با قابلیت دادن رهن تا مبلغ 400میلیون تومان براحتی‼️

⚠️یک وام 700میلیون تومانی هم روی سند آپارتمان میشه سریع بگیرید⚠️

⭐املاک برند⭐
آدرس دفتر: خیابان هشت بهشت غربی حدفاصل چهارراه گلزار و چهارراه ملک جنب کوچه17",https://divar.ir/v/آپارتمان70متر-شیک-وبازسازی-شده-خ-احمدآباد/wZqB4j42,2025-02-15
110 مترآپارتمان 2 خوابه تکواحدی ( روبه آفتاب ),110,6٬000٬000٬000 تومان,54٬545٬000 تومان,2,1390,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,بله,"110مترآپارتمان 
دوخواب طبقه اول تکواحدی 

پارکینگ انباری اختصاصی 

روبه آفتاب 

موقعیتی بسیارعالی 

کل مجموعه 3واحد 

سند آماده انتقال 
جهت اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/۱۱۰-مترآپارتمان-۲-خوابه-تکواحدی-روبه-آفتاب/wZJygBB7,2025-02-15
فروش آپارتمان 40 متری، 1 خوابه همکف در آبشار,40,2٬100٬000٬000 تومان,52٬500٬000 تومان,1,1396,Not Found,Not Found,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,"سوئیت 34 متری مفید فوق العاده عالی، طراحی فوق العاده 
6 متر انباری هم زیر پله دارد داخل ساخت( از داخل اتاق خواب)، فوق‌العاده تمیز، کابینت mdf، اتاق داری کمدهای mdf جادار
باید از نزدیک ببینید",https://divar.ir/v/فروش-آپارتمان-۴۰-متری-۱-خوابه-همکف-در-آبشار/wZnOcXIw,2025-02-15
فروش آپارتمان 130 متری 3 خوابه در ملک‌شهر,130,5٬950٬000٬000 تومان,45٬769٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,بله,"فروش فوری
آپارتمان 130 متری خوش نقشه روی طبقه همکف بین روحانی و نگارستان سالن بزرگ 3 خواب استاندارد پارکینگ مسقف 
متریال خوب هر طبقه 2  واحد واحد روبه آفتاب درب به حیاط",https://divar.ir/v/فروش-آپارتمان-۱۳۰-متری-۳-خوابه-در-ملک-شهر/wZq-OuhP,2025-02-15
آپارتمان 90 متر یک خواب حیاط اختصاصی,90,1٬800٬000٬000 تومان,20٬000٬000 تومان,1,1389,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری ندارد,بله,"با سلام 
✓آپارتمان یک خواب طبقه 90متر مربع
✓ساختمان 2طبقه 
✓ همکف حیاط اختصاصی راه مجزا
✓قولنامه و مادر سند
✓حیاط دار ، دارای امکانات کامل
✓قولنامه و سند عادی
✓کابینت ام دی اف  ، آبگرمکن دیواری  ،هود 
✓سیستم سرمایش کولر آبی 
✓ کمد دیواری 

آدرس ملک : خیابان امام خمینی خیابان شهیدان کاظمی 
آدرس مشاور املاک : خیابان امام خمینی خیابان شهیدان کاظمی خیابان فرهنگیان مشاور املاک پاسارگاد 
مهندس احمدی",https://divar.ir/v/آپارتمان-۹۰-متر-یک-خواب-حیاط-اختصاصی/wZvGRHon,2025-02-15
140 متر آپارتمان‌صفر حسین آباد,140,8٬800٬000٬000 تومان,62٬857٬000 تومان,2,1402,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,"‎140 متر. صفر کلید نخورده  ‎2 واحدی  ‎4 طبقه ‎جمعا 8 واحد ‎طبقه همکف دوخوابه با قابلیت 3 خوابه، سالن بسیار بزرگ و دلباز ‎بدون درگیری پارکینگ. پارکینگ از ضلع دیگر ساختمان رمپ میخوره و هیچ ارتباطی به واحد نداره ‎از پارکینگ آسانسور داره داری 2 پارکینگ‎ پلاک سوم خیابان حسین آباد هست ‎موقعیتش به طرف حکیم نظامی هست نه طرف وحید.
معاوضه با آپارتمان نهایتا 1 میلیارد بالاتر",https://divar.ir/v/140-متر-آپارتمان-صفر-حسین-آباد/wZce452r,2025-02-15
78متر/دونبش/دوخواب/ شیک,78,2٬990٬000٬000 تومان,38٬333٬000 تومان,2,1394,2,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,"با عرض سلام و احترام 
ایران ملک
_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*
78متر 
سالن مربع قابل چیدمان 
دو نبش شمالی غربی
پارکینگ مسقف سندی
آسانسور
انباری 
هر طبقه 2 واحد
سند تک برگ آماده انتقال 
مجتمع آرام و با امینت 
دسترسی آسان به تمامی مراکز رفاهی 
فول امکانات 
فول کابینت و کمد دیواری
سرمایش اسپیلیت 
گرمایش شوفاژ 
_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_*_

برای اطلاعات بیشتر تماس حاصل فرمایید

ایران ملک
خرید و فروش
معاوضه و تهاتر 
رهن و اجاره 
آدرس دفتر:رباط سوم خیابان بهار شرقی دفتر ایران ملک",https://divar.ir/v/78متر-دونبش-دوخواب-شیک/wZral0CM,2025-02-15
فروش آپارتمان 118 متری یا معاوضه,118,3٬800٬000٬000 تومان,32٬203٬000 تومان,2,1388,2,2,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,بله,"118 متر جنوبی
بالکن در حال و پنجره ی بزرگ در سالن
اتاق خواب های بزرگ و دارای نور
پارکینگ مسقف
کمدهای پهن و بزرگ
مجتمع 5 واحدی طبقه دوم دوخواب
بازسازی شده کابینت ام دی اف و کف سرامیک
روبروی فلافل 20 کوچه 20 جنب دفتر پیشخوان
نزدیک ایستگاه مترو و مراکز خرید
همسایگان عالی و مجتمع ساکت
تخفیف پای معامله
معاوضه با واحد بزرگتر محدوده باهنر، جابر، پنج آذر، سروش، عسگریه 
الباقی نقد",https://divar.ir/v/فروش-آپارتمان-۱۱۸-متری-یا-معاوضه/wZwyi7q1,2025-02-15
فروش خانه ویلایی جنوبی240 متری 3 خوابه،سپاهان‌شهر,215,240,18٬000٬000٬000 تومان,3,1384,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,"سپاهانشهر فارابی 4 کوچه بهار
مجوز ساخت سه طبقه دارد
ابعاد 12×20
جنوبی
2 تاسرویس بهداشتی و حمام",https://divar.ir/v/فروش-خانه-ویلایی-جنوبی۲۴۰-متری-۳-خوابه-سپاهان-شهر/wZv6wK4w,2025-02-15
