title,property size,total price,price per metr,room count,build year,floor count,total floor,characteristics,features,description,url,crawl date
134 متر،زیرقیمت سرمایه گذاری، شمرون اصیل,134,22٬780٬000٬000 تومان,170٬000٬000 تومان,2,1398,4,8,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم آبگرم‌کن,"⚜️به نام ایزد یکتا⚜️

❌ امامزاده قاسم مَلاک
                               نشینِ شمرون و نیاوران ❌
 
                 سرمایه گذاری و سکونت همزمان
                            ☑️ویو شهر☑️ ️

||  134  متر  ||

❌2 خواب مستر کینگ ❌
( قبلا 3 خواب بوده
                        قابلیت 3 خواب شدن ) 

|| نور مستقیم جنوب
پنجرها تمام قد ||

❎ 2 تراس قابل چیدمان  ❎

||  پلن مهندسی ، بدون هیچگونه پرتی  ||

|| پذیرایی خوش چیدمان ||

|| لابی مبله ||
|| سرایدار مقیم 24 ساعته ||

|| پارکینگ ||
|| انباری 6m ||
|| آسانسور ||


          ❌ سند تک برگ بدون هیچگونه ریشه ❌
 

       ✅ خ مرجان ( شمرون ) 
                                       لوکیشن دنج و آرام ✅ 


                        ⚜️کارشناس ملکی شما⚜️ 
                                ⚜️اسدی ⚜️
                                ⚜️اسدی ⚜️",https://divar.ir/v/۱۳۴-متر-زیرقیمت-سرمایه-گذاری-شمرون-اصیل/wZimAfew,2025-02-15
فروش آپارتمان 60 متری در شادمهر / فول دیزاین شده,60,5٬450٬000٬000 تومان,90٬833٬000 تومان,1,1380,4,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"هوالرزاق 

60 متر
تکخواب 

5 طبقه دو واحدی 
طبقه 4 

سال ساخت 80 
نما سنگ 
ملک دو نبش 
سالن پرده خور 
دو طرف نور گیر 

آسانسور و بالکن 
فول بازسازی شده 0 تا 100 
اماده تخلیه 

لوکیشن : شادمهر تقاطع نیک روش 

مشاور شما : بزرگی 

طوسی",https://divar.ir/v/فروش-آپارتمان-۶۰-متری-در-شادمهر-فول-دیزاین-شده/wZoeWQIq,2025-02-15
56 متر /  تک واحدی / پارکینگ دار / استاد معین,55,4٬250٬000٬000 تومان,77٬272٬000 تومان,1,1394,3,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,"فرصت عالی برای سرمایه گذاری✔
متر 56
تکخواب
فضای وسیع اتاق خواب
خوش نقشه
دسترسی عالی
سالن پرده خور
مناسب برا سرمایه گذاری و سکونت
-----------------------------------------------------
امکانات:
پارکینگ سندی (غیر مزاحم)
آسانسور
انباری غیرسندی (کاذب)

--------‐--------------------------------------------
قابلیت دریافت وام حداکثری
فروشنده 100درصد

مبلغ پارکینگ جداگانه محاسبه می شود ✔

برای اطلاعات بیشتر تماس بگیرید
وظیفه ما دادن بهترین مشاوره به شماست
مشاور شما روغنی
املاک دی",https://divar.ir/v/56-متر-تک-واحدی-پارکینگ-دار-استاد-معین/wZn6hv3-,2025-02-15
93متر با پارکینگ خ جانبازان,93,6٬300٬000٬000 تومان,67٬741٬000 تومان,2,1380,2,4,تعداد واحد در طبقه: ۳ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی,"93 متر 
با پارکینگ و انباری
باز سازی شده
خوش نقشه
لوکیشن عالی
دسترسی عالی ب مترو و مراکز خرید
 فروشنده واقعی
   مشاور شما توکلی",https://divar.ir/v/۹۳متر-با-پارکینگ-خ-جانبازان/wZw2V6z5,2025-02-15
140متر شمس آبادسه خوابه ودوپارکینگ,140,15٬000٬000٬000 تومان,107٬142٬000 تومان,3,1402,4,5,تعداد واحد در طبقه: ۴ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"با سلام ووقت بخیر 
140متر نوساز (کلید نخورده )
سه خوابه غرق در نور جنوبی
طبقه چهارم
سالن خوش نقشه وپرده خور 
آشپزخانه نیمه فرنیش 
کابینت های گلاس
کف سرامیک
سرویس ایرانی وفرنگی 
شیر آلات برند 
بالکن جنوبی وقابل چیدمان 
کمد دیواریهای بزرگ‌وجاکفشی وکمدرخت آویز بزرگ 
اعلان واطفاءحریق
سیستم داکت اسپلت 
دو  باکس پارکینگ سندی غیر مزاحم 

لابی بزرگ آینه کاری شده
ساختمان ترکیبی از بهترین سنگ وآجر
حیاط بزرگ وباغچه سرسبز و زیبا
ساختمان نورپردازی ونور مخفی کامل در شب 
لابی مبله وبزرگ 
سرایدار مقیم 
دسترسی آسان به مراکز خرید وبزرگراهها
تخفیف ویژه در جلسه
ملک 90متری طبقه اول با دو پارکینگ سندی  هم موجود هستش",https://divar.ir/v/۱۴۰متر-شمس-آبادسه-خوابه-ودوپارکینگ/gZqJKwrJ,2025-02-15
فروش آپارتمان 40 متری 1 خوابه طبقه 4 در زنجان,40,2٬650٬000٬000 تومان,66٬250٬000 تومان,1,1382,4,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,موقعیت عالی برای خرید و سرمایه گذاری,https://divar.ir/v/فروش-آپارتمان-۴۰-متری-۱-خوابه-طبقه-۴-در-زنجان/wZwS2gmZ,2025-02-15
125متر3خواب1مستر/تکواحدی/مشاعات دار/8ساله,125,22٬900٬000٬000 تومان,183٬200٬000 تومان,3,1395,5,5,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | تأمین‌کننده آب گرم موتورخانه,"♥️به نام یگانه معمار هستی♥️

  ««««««««««««اکازیون واقعی »»»»»»»»»»»»

✅واقع در یکی از تاپ لوکیشن های سعادت آباد 
✅آپارتمان 121 متر 3 خواب - 1 خواب مستر 
✅5 طبقه تکواحدی - طبقه پنجم 

“”” خوش نقشه ترین واحدی که دیدید “””

✅نقشه در حد واحدای 150 متری 
✅کم سن - تمیز و روپا 
✅سالن سراسر پرده خور رو به آفتاب
✅3خواب بزرگ و قابل چیدمان

فول امکانات و مشاعات دار:

✅پارکینگ انباری آسانسور بالکن 
✅سالن اجتماعات فعال و کاربردی 
✅سونا جکوزی 

✅8 سال ساخت
✅سند تکبرگ شخصی - فروشنده صد درصدی 


✅فروش فقط نقدی 

✅بازدید باهماهنگی 

✅علی نژاد 
✅خانه نوین",https://divar.ir/v/۱۲۵متر۳خواب۱مستر-تکواحدی-مشاعات-دار-۸ساله/wZrKAv3w,2025-02-15
135 متر /تک واحدی /8 ساله,135,15٬300٬000٬000 تومان,113٬333٬000 تومان,3,1396,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"135 متر 
3 خواب 
نقشه کاملا مهندسی و سازنده برند 
تک واحدی 
متریال عالی 
لوکیشن خوب 
بازدید===قرار داد 
قیمت عالی ....
املاک کفی منطقه",https://divar.ir/v/135-متر-تک-واحدی-8-ساله/wZwi1z2u,2025-02-15
فروش آپارتمان 54 متری 1 خوابه همکف در تهران‌سر,54,4٬450٬000٬000 تومان,82٬407٬000 تومان,1,1383,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"پارکینگ

انباری

کابینت هایگلاس

کف پارکت

روبه نما

فول باسازی شده

10 متر حیاط خلوط

لوکیشن اصلی 

مشاور ملکی شما: اسفندیاری

املاک بزرگ آلاچیق",https://divar.ir/v/فروش-آپارتمان-۵۴-متری-۱-خوابه-همکف-در-تهران-سر/wZwu1bd-,2025-02-15
92متری/فول امکانات/استادمعین,95,7٬000٬000٬000 تومان,73٬684٬000 تومان,2,1399,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"هوالرزاق

✅92متری  ✅2خواب تخت خور

✅امکانات=
✅پارکینگ سندی(غیرمزاحم)
✅انباری
✅تراس

✅لوکیشن بی نظیر
✅گذر 8متری
✅دسترسی عالی

✅سند تک برگ
✅مالک فروشنده واقعی
✅بازدید=100٪؜پسند

✅فوق العاده خوش نقشه
✅سالن سرتاسر پرده خور
✅بحر اصلی

✅کابینت ممبران ترک
✅سرویس گرمایشی (پکیج)
قیمت پارکینگ طبق عرف

✅قابلیت رهن یک میلیارد 
✅قابلیت دریافت وام

✅بازدید با هماهنگی

اخرین فرصت ها برای خرید تا قبل سال جدید

فقط ملک های به قیمت و زیر قیمت کارشناسی میشود

کارشناس منطقه=
کهندانی


هلدینگ درویش",Not Found,2025-02-15
113متر 2خواب ریحانی  فول امکانات نوساز(رو به آفتاب,113,18٬000٬000٬000 تومان,159٬292٬000 تومان,2,1403,5,5,تعداد واحد در طبقه: ۲ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"نوساز
ورودی از حیاط و لابی
رو به آفتاب و سالن پرده خور
خوش نقشه
طبقه 5 (آخر)
هر طبقه 2 واحد
پارکینگ-انباری-آسانسور
هر دو اتاق دارای کمد دیواری
کف سنگ
کابینتها هایگلاس
سرویس بهداشتی ایرانی و فرنگی
داکت اسپیلت
پکیج
بالکن
آماده تحویل و سکونت

✔10 درصد از مبلغ کل ثمن معامله بابت صدور سند تک برگی در دفترخانه

✔قابلیت رهن کامل تا مبلغ 2 میلیارد تومان

⛔لطفا همکاران محترم املاکی تماس نگیرند⛔

با تشکر
فراهانی",https://divar.ir/v/۱۱۳متر-۲خواب-ریحانی-فول-امکانات-نوساز-رو-به-آفتاب/wZOWwquU,2025-02-15
1000 متر کردان معاوضه با آپارتمان یا ماشین,1000,15٬000٬000٬000 تومان,15٬000٬000 تومان,بدون اتاق,1398,Not Found,Not Found,تعداد واحد در طبقه: ۱ | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"1000 متر در کوهسار کردان بهترین لوکیشن کردان
کوهستانی
داخل شهرک 
دیوارکشی ارتفاع  3متری 
دارای 100 نسل درخت میوه و....
دارای آلاچیق وباربیکیو 
انباری و سرویس
تانکر آب هوایی 8000 لیتر
شهرک دارای هیت مدیره و نگهبانی دارد
از 93 پلاک 87 پلاک ساخته شده وسکونت دارند
کنتور برق موجود
کوچه بندی و دارای کدپستی
ملک دارای سند مادر میباشد
((درآخر چنانچه دنبال خرید ملک در کردان میگردید کردان واقعی خرید کنید))
  بالای اتوبان
((مناسب سرمایه گذاری))",https://divar.ir/v/۱۰۰۰-متر-کردان-معاوضه-با-آپارتمان-یا-ماشین/wZIGrBcn,2025-02-15
اپارتمان نوساز,120,10٬600٬000٬000 تومان,88٬333٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,6 طبقه تک واحد,https://divar.ir/v/اپارتمان-نوساز/wZwS1aJC,2025-02-15
ویو همیشه/بازسازی ژورنالی/تخلیه/فول امکانات/,106,12٬725٬000٬000 تومان,120٬047٬000 تومان,2,1393,4,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | تأمین‌کننده آب گرم پکیج,"فقط پول نقد و فقط پرداختی عالی
تخفیف جزئی پای نشست دارد
فروشنده واقعی
106 متر 2 خ فول تخلیه طبقه چهارم
قابلیت رهن کامل 1700
و دریافت همه وام ها
بهترین خرید سال
فروشنده واقعی",https://divar.ir/v/ویو-همیشه-بازسازی-ژورنالی-تخلیه-فول-امکانات/wZsKnbP2,2025-02-15
75متر2 خواب شهرک راه‌‌آهن /دهکده/ هوانیروز,75,6٬300٬000٬000 تومان,84٬000٬000 تومان,2,1389,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"❌️فروش فوری 

❌️سند تک برگ 
شخصی ساز 
75 متر 2 خواب 
طبقه اول سندی 
خوش نقشه   فول بازسازی
پرده خور   آفتابگیر 

پارکینگ سندی    انباری   بالکن

آماده رهن تا 800 میلیون 

امکان دریافت وام مسکن

       ⚜️ راما با نیم قرن تجربه ⚜️

خانم زرگر",https://divar.ir/v/۷۵متر۲-خواب-شهرک-راه-آهن-دهکده-هوانیروز/wZwyljlA,2025-02-15
فروش آپارتمان 105 متری 2 خوابه جهانتاب,105,17٬500٬000٬000 تومان,166٬666٬000 تومان,2,1385,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✅105 متر قیطریه جنوبی

✅نورو نقشه بی نظیر

✅فول نوسازی شده

✅دنج ترین لوکیشن منطقه

✅اتاق وسالن پرده خور

✅سرایداری مقیم

✅با امکانات کامل

✅کلید در اختیار",https://divar.ir/v/فروش-آپارتمان-۱۰۵-متری-۲-خوابه-جهانتاب/wZveiC6s,2025-02-15
132متر،3خواب،نوساز مدرن،تک واحدی,132,23٬500٬000٬000 تومان,178٬030٬000 تومان,3,1403,2,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"فروش آپارتمان نوساز و مدرن در بهترین لوکیشن باغ فیض      کدA29

✅ مشخصات:
▫️ متراژ: 132 متر
▫️ تعداد خواب: 3 خواب
▫️   طراحی مدرن
▫️ ویژگی‌ها: تک‌واحدی، پارکینگ، آسانسور، انباری، بالکن

اگر به دنبال یک خانه ایده‌آل در یکی از بهترین مناطق باغ فیض هستید، این فرصت را از دست ندهید!

‼️این فقط یک معامله نیست، حرف یک عمر زندگیست.
                         کد A29
برای اطلاعات بیشتر و بازدید، تماس بگیرید.
ارادتمند شما رضایی✔️
املاک نوین قشقایی✔️",https://divar.ir/v/132متر-3خواب-نوساز-مدرن-تک-واحدی/wZwaFt1g,2025-02-15
شمال جردن ولیعصر 104متر خوش نقشه / فول امکانات,Not Found,17٬200٬000٬000 تومان,165٬384٬000 تومان,2,1398,Not Found,5,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی,"✅️104 متر 2 خواب نورگیر عالی
✅️بسیار خوش نقشه و شیک
✅️به قیمت رسیده!

✅️تاپ لوکیشن
✅️مالک ، فروشنده واقعی
✅️سرایداری مقیم

✅️دسترسی عالی (پارک ملت و امانیه و ...)
✅️فرصتی تکرار نشدنی!
✅️اسناد و مدارک کامل و آماده انتقال

کارشناس امور ملکی : مهندس رایان",https://divar.ir/v/شمال-جردن-ولیعصر-۱۰۴متر-خوش-نقشه-فول-امکانات/wZUy6Qf4,2025-02-15
مزایده فروش زمین 71 متری در بازار مولوی,Not found,71 متر,17٬800٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"مزایده زمین، بازار مولوی
سند عرصه و اعیان 3286
پهنه S111
قیمت کارشناسی شده
مزایده دادگستری از طریق سامانه ستاد setadiran برگزار میشه
71.23 دسیمتر متراژ
بخش مزایده و سپس بخش حراج
پ3286
شماره بایگانی 0303115
جواز 3 طبقه + دستور نقشه
توضیحات تکمیلی و گزارش کارشناسی داخل سامانه هستش
در بخش مزایده، قسمت حراج، بخش جستجوی سامانه پلاک ثبتی را وارد کنید، در انتهای صفحه گزارش کارشناسی موجود هستش
تاریخ مزایده بیست و نه بهمن ساعت هشت صبح الی یازده ظهر
29 بهمن 1403 ساعت 8 الی 11 صبح
توضیحات و عکس ها تکمیل میباشد",https://divar.ir/v/مزایده-فروش-زمین-۷۱-متری-در-بازار-مولوی/wZsOmawE,2025-02-15
آپارتمان 64 متری، تاپ لوکیشن، غرق نور,64,4٬850٬000٬000 تومان,75٬781٬000 تومان,2,1378,4,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"توجه                    توجه
    ⭐بهترین فرصت برای یک خرید فوق‌العاده⭐
✅نور و نقشه جذاب
✅گذر عریض و مشجر
✅زیر قیمت منطقه
✅مشاعات بسیار تمیز
✅بدون مورد مشابه
✅بازدید=پسند قطعی شما
✅تماس=اطلاعات ویژه
✅فقط و فقط تماس بگیرید
            مالک، فروشنده واقعی
مشاور منطقه آرین",https://divar.ir/v/آپارتمان-64-متری-تاپ-لوکیشن-غرق-نور/wZEOcWYy,2025-02-15
