Title,property size m2,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
فروش ویلایی 2طبقه درب ازساختمان شهرک گلستان,250,200,11٬200٬000٬000 تومان,+4,1389,Not Found,Not Found,وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن,"ویلایی2طبقه درب ازساختمان زمین200متری بازسازی شده لوکیشن علامه فروشنده قطعی نقدی 
ویلایی2طبقه سردونبش زمین250متری بدون دوبلکس قابل سکونت لوکیشن علامه 14/5میلیارد
طبقه همکف ویلایی 2طبقه 3خوابه تخت درازحیاط لوکیشن علامه بدون حضور مالک 100با20تبدیل به رهن کامل میشود 
قدم به قدم با شماییم از بازدید تا انتقال سند 
املاک زیارتی",https://divar.ir/v/فروش-ویلایی-۲طبقه-درب-ازساختمان-شهرک-گلستان/wZr6Ai77,2025-02-15
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,"با سلام

فروش آپرتمان ابتدای قدوسی غربی
نورگیر عالی بدون مشرف
پارکینگ اختصاصی
انباری و آسانسور

جعفری",Not Found,Not Found
اپارتمان دو‌خواب‌شیک,Not Found,Not Found,58٬800٬000 تومان,Not Found,Not Found,3,4,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,Not Found,"اپارتمان‌دو‌خواب‌شیک‌ و‌درجه یک
مصالح‌به‌روز
کابینت های گلاس
سقف کناف به همراه‌نور پردازی لاین نوری
دارای مشاعات و لابی سنگ",Not Found,Not Found
مقداری زمین,Not found,1٬000 متر,Not Found,Not found,Not found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2025-02-15
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
فروش 155 متری 3 خوابه پاسداران,155,7٬500٬000٬000 تومان,48٬387٬000 تومان,3,1391,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"3 خوابه پاسداران 
خیابان شهید کلاهدوز 
با موقعیت بسیار خوب 
دوبر کوچه ضلع جنوبی عرق نور 
  18 واحدی  با همسایگان بسیار با فرهنگ و متین 
تا مبلغ 3 میلیارد قابل معاوضه با خودرو یا ملک کوچکتر 1 خوابه یا 2خوابه یا باغشهری جایی خوب با قیمت 
*املاک محمد*
آدرس املاک خیابان شهید آقایی فرعی گلچین شرقی نبش کوچه 2 املاک محمد شجاعی پور",https://divar.ir/v/فروش-۱۵۵-متری-۳-خوابه-پاسداران/wZvmKte9,2025-02-15
265 متری 4 خوابه در تاچارا/سند ملکی,Not Found,17٬500٬000٬000 تومان,Not Found,4,Not Found,Not Found,Not Found,وضعیت واحد: بازسازی نشده,Not Found,"بنام خدا
واحد فوق پنجره ها سقف تا کف بزرگ
نورگیر جنوبی رو بحیاط
بدون مشرف(تراس بزرگ 20متری جلو سالن) 
سند تک برگ ملکی
متریال درجه یک
. 
. 
. 
مشاور و کارشناس فروش: شاهسوندی
تایم تماس: 9صبح الی 12 شب",https://divar.ir/v/۲۶۵-متری-۴-خوابه-در-تاچارا-سند-ملکی/wZbW228r,Not Found
محراب 194 متر طبقه دوم ویلایی,174,200,7٬000٬000٬000 تومان,3,1400,Not Found,Not Found,جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"مدرن ترین خانه در منطقه محراب ✅
متراژ خانه 194 متر ◻️
3 خواب ◻️
کابینت آشپزخانه فایبر گلس مات درجه 1 ◻️
همرا با بوفه در کمد ◻️
سیستم گرمایشی پکیج بوتان کار شده ◻️
بالکن بزرگ ◻️
با 3 تا حمام و سرویس بهداشتی ◻️
یکی از اتاق ها دارای مستر ◻️
و پارکینگ ◻️",https://divar.ir/v/محراب-۱۹۴-متر-طبقه-دوم-ویلایی/wZIRkhW0,2025-02-15
زمین 915 متری شهرک فرهنگیان,Not found,915 متر,31٬200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"درب از حیاط 
سند تک برگ 
عرض 30
موقعیت مکانی عالی
عالی برای سرمایه گذاری 
بازار هدف فوق العاده 
بازگشت سرمایه در کمترین زمان
مشاور : دهقان
---------------------
((و هوالرزاق))
(عبادت بجز خدمت خلق نیست)
ما شما را با هر مبلغ صاحب ملک خواهیم کرد
فقط کافیست بخواهید.
این یک شعار نیست.
 
(بازدید حضوری= پایان جستجوهایتان)
ملک خوب میخواید؟ شما پیگیر باشید 

♦️اعتبار ما اعتماد شماست♦️

سه شعبه ی فعال دفتر تخصصی در زمینه ی : 

مشارکت در ساخت✅
خرید و فروش منزل ویلایی و آپارتمانو مغازه✅
معاوضه یا تهاتر سنگین و سبک✅
گرفتن کد رهگیری✅
انجم کلیه کارهای ملکی استعلامات شهرداری و دارایی و محضر ٫گرفتن سند✅

(مجموعه همچنین دارای تیم ساخت و ساز و وکیل پایه یک دادگستری میباشد✅
ملک کلنگی و زمین از شما ساخت با برترین متریال روز با ما.✅

♦️بهترین فایل های منطقه با قیمت منصفانه را از ما بخواهید.♦️

✅بدلیل حجم بالای تماس ها قادر به پاسخگویی کامل به مشتریان عزیز نیستیم لذا دوستان اگر دنبال پیشنهاد فوق العاده هستید حضوری پرزنت شوید. 

✅بانک فایل منطقه",https://divar.ir/v/زمین-۹۱۵-متری-شهرک-فرهنگیان/wZwWEuBw,2025-02-15
خانه ویلایی 80متری 1 خوابه در صاحب الامر شرقی,110,80,3٬300٬000٬000 تومان,1,1390,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"باسلام
 خانه ویلایی صفرتاصد بازسازی شده شیک وتمیز و بهترین موقعیت مکانی ودسترسی به امکانات رفاهی درب از حیاط با این هزینه صاحب خانه ویلایی که مالکیت ملک و زمین دارد میشوید قابل رهن  تا مبلغ 500واجاره املاک تماس نگیرید",https://divar.ir/v/خانه-ویلایی-80متری-۱-خوابه-در-صاحب-الامر-شرقی/wZwqzCC2,2025-02-15
2خواب باهنر فقط تهاتر با آپارتمان,113,4٬200٬000٬000 تومان,37٬168٬000 تومان,2,1387,1,3,تعداد واحد در طبقه: ۴ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"دو خواب چهار راه باهنر 
فقط تهاتر با آپارتمان شیراز یا صدرا زیر 3 تومن
مابقی نقدی دریافت می‌شود
اطلاعات آگهی تکمیل
مشخصات آپارتمان خودتونو ارسال کنید",https://divar.ir/v/۲خواب-باهنر-فقط-تهاتر-با-آپارتمان/wZlWvKhS,2025-02-15
300مترزمین مسکونی قلات,Not found,300 متر,1٬300٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"300مترزمین مسکونی قلات موقعیت عالی برای ساخت و‌ساز امکانات تا پای زمین امده
قیمت خیلی پایین گذاشتم پول لازم هستم
آدرس خیام
مستثنیات",https://divar.ir/v/300مترزمین-مسکونی-قلات/gZfneJgm,2025-02-15
فروش آپارتمان 80 متری صفر 1 خوابه جانبازان پادونک,80 متر مربع,3٬350٬000٬000 تومان,41٬875٬000 تومان,1,1403,2,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"((به نام خدا))

صفر لخت ✅

1403✅

6 واحدی✅

شخصی ساز✅

بهترین لوکیشن جانبازان(پادونک)خیابان شهید امامی


املاک آریا:سفیر شمالی،خیابان پوربیرک،نبش کوچه 1",https://divar.ir/v/فروش-آپارتمان-۸۰-متری-صفر-۱-خوابه-جانبازان-پادونک/wZwqzsuW,2025-02-15
زمین 120 متری صد در صد ساخت بر طلاییه تجاری,Not found,120 متر,10٬200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"زمین تجاری
عرض 12

صد در صد ساخت
بر طلاییه

تجاری مسکونی
 
خدمات پرداخت شده

سند تک برگ

موقعیت ملک دیدنیه  و بشدت روبه رشد





خدمات پرداخت شده

سند تگ برگ

املاک مشارکت شهرک فرهنگیان خیابان شهید پوربهمن از نبش کوچه7 پنجمین مغازه املاک مشارکت 

*********** عباسی",https://divar.ir/v/زمین-۱۲۰-متری-صد-در-صد-ساخت-بر-طلاییه-تجاری/wZ3p4MJw,2025-02-15
فروش زمین 750 متری گلخون,Not found,750 متر,165٬000٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"گلخون قصرالدشت 
لوکشین عالی
44 متر بر
ضابطه m3
تا 50 درصد قابل تهاتر
فقط تماس بگیرید
همکاری میشود",https://divar.ir/v/فروش-زمین-۷۵۰-متری-گلخون/wZi2SQGD,2025-02-15
فروش آپارتمان 100 متری 2 خوابه در فرهنگیان,100,3٬500٬000٬000 تومان,35٬000٬000 تومان,2,1401,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"دو خواب 
صفر خام  کلید اول 
نقلی  پول ی خواب داری میدی 
دلالی دلالی  پور بهمن
مشاعات سنگ 
سند یک سال دیگه 
فقط تا 48ساعت فروش",https://divar.ir/v/فروش-آپارتمان-۱۰۰-متری-۲-خوابه-در-فرهنگیان/wZv2Gl04,2025-02-15
فروش واحد مسکونی املاک امانی,186,1٬111٬111٬111٬111 تومان,5٬973٬715٬000 تومان,3,1398,1,6,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,درود واحد طبقه اول ، اپارتمان سال ساخت 98 ، هر طبقه سه واحد ، کلا 6 طبقه ، جهت شمالی جنوبی ، سه خواب یک خواب مستر ، کمد دیواری عمیق ، خوش نقشه,https://divar.ir/v/فروش-واحد-مسکونی-املاک-امانی/wZwqTdKv,2025-02-15
فروش باغ هفت برم,Not found,20٬000 متر,1٬234٬567٬890 تومان,Not found,Not found,Not Found,Not Found,not found,not found,دارای سند ، برق ، آب ، درخت گردو بادام انگور و تعدادی سیاه درخت، فاصله 300 متری تا دریاچه اول هفت برم، فروش به صورت قطعه کوچکتر هم امکان پذیر است و معاوضه با ملک مسکونی و تجاری و ماشین هم میشود، قیمت توافقی,https://divar.ir/v/فروش-باغ-هفت-برم/wZvWWNa3,2025-02-15
Not Found,Not Found,6٬900٬000٬000 تومان,57٬500٬000 تومان,Not Found,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,Not Found,"عرض ادب و احترام 

واحد فوق میرزای شیرازی منبع آب میباشد 

✨ 7 واحدی 
✨ طبقه دوم
✨ نورگیر عالی شمالی جنوبی
✨ خوش نقشه
✨ واحد خام میباشد

جهت بازدید لطفا تماس حاصل فرمایید

مشاور : پوریار",https://divar.ir/v/آپارتمان-۱۲۰-متری-۲-خوابه-منبع-آب/wZgqXgar,2025-02-15
فروش آپارتمان 103 متر 2 خوابه باهنر شمالی,103,5٬100٬000٬000 تومان,49٬514٬000 تومان,2,1394,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"واحد فوق خوش نقشه و بدون پرتی

تکمیل بدون یک ریال هزینه

نورگیر عالی 
سند ملکی آماده انتقال

شخصی ساز و کم واحد


قابلیت رهن کامل تا مبلغ 700 میلیون
تاپ لوکیشن منطقه کوچه 22 باهنر شمالی

     املاک آسمان : باهنر شمالی
    ........................................         
کارشناس خرید و فروش : بهمنی",https://divar.ir/v/فروش-آپارتمان-۱۰۳-متر-۲-خوابه-باهنر-شمالی/wZwKlSqd,2025-02-15
واحد125متری دو خواب صفر تاپ لوکیشن,125,5٬200٬000٬000 تومان,41٬600٬000 تومان,2,1402,2,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"هوالرزاق 
             سلام عرض ادب
یک دستگاه آپارتمان 125متری
سند تک برگ ملکی ✔
انباری پارکینگ آسانسور✔
نورگیر عالی شمالی جنوبی ✔
امکانات رفاهی کاملا در دسترس✔
واحد زیره قیمت کارشناسی ✔
مالک فروشنده صد درصد✔
تخفیف عالی هنگام عقد قرار داد✔
موارد مشابه موجود....
*********دپارتمان تخصصی بازار املاک شهر*********
لوکیشن دفتر=میدان ابوالکلام روبروی فروشگاه تک تاز.
مشاوره شما:پیله وریان",https://divar.ir/v/واحد۱۲۵متری-دو-خواب-صفر-تاپ-لوکیشن/wZeN4kTc,2025-02-15
*138 متر 3 خواب بر اصلی پاسارگاد غربی صفر خام*,138 متر مربع,6٬400٬000٬000 تومان,46٬376٬000 تومان,3,1403,1,3,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✳به نام خداوند بخشنده ی مهربان✳
➕138 متر 3 خواب بر اصلی پاسارگادغربی:
➖3 خواب با کمد دیواری✅
➖موقعیت شمالی،نورگیر✅
➖3 طبقه 6 واحد✅
➖مستر✅
☑تمامی استاندارد ها در ساخت رعایت شده
نما و ماشاعات تماما سنگ،متریال مرغوب و درجه 1
ساختمانی خاص در محدوده ی پاسارگاد و باهنر
(500 میلیون بابت سند که به مبلغ کل اضافه میشود،تقریبا یک سال مهلت برای پرداخت دارید)

_________________________________________
☑آدرس املاک:باهنرجنوبی،نبش میدان پارسه،املاک شکیبا☑",https://divar.ir/v/۱۳۸-متر-۳-خواب-بر-اصلی-پاسارگاد-غربی-صفر-خام/wZ1Q7v5g,2025-02-15
فروش زمین 300 متری در خیابان دوران،خیابان مرصاد,Not found,300 متر,5٬100٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"زمین 300 متری،مِلکی(ده در سی) با سند رسمی تک برگ ملکی بنام،واقع در خیابون مرصاد نزدیک بزرگراه جدیدالتاسیس استوار، شهرک جدید و نوساز با موقعیت عالی و رو به رشد، قابلیت اخذ مجوز ام 4(چهار طبقه بر روی همکف) که قابلیت ساخت 7 واحد با تامین پارکینگ را دارد. زمین 4 میخ و دور تا دور ان گودبرداری شده با نقشه یو تی ام الکترونیک ثبتی و نقشه یو تی ام الکترونیک شهرداری
ادرس: خیابان دوران، خیابان مرصاد، جنب لاستیک سازی دنا و بزرگراه جدید استوار
نقشه زمین و یوتی ام در عکس ها گذاشتم.
فروش نقدی یا تهاتر با خودرو خارجی و اپارتمان در شیراز",https://divar.ir/v/فروش-زمین-۳۰۰-متری-در-خیابان-دوران-خیابان-مرصاد/wZU6QOIC,2025-02-15
فروش آپارتمان دوخوابه ویو عالی طلاییه نارنج,112,3٬950٬000٬000 تومان,35٬267٬000 تومان,2,1403,4,5,تعداد واحد در طبقه: ۴ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"املاک اسدی زمرد 
قوی ترین بانک اطلاعات منطقه 9 شیراز 
دو خوابه 
خام نور گیر عالی 
بدون پرتی 
ویو استثنایی 
مبلغ 100میلیون تضمین سند 
قابلیت رهن تا 600میلیون دارد 
بازدید آزاد 
دوبر 
نما سنگ 
مشاعات عالی 
موارد بیشتر در سراسر طلاییه با ما در ارتباط باشید 
مشاور شما رضا اسدی 
آدرس ما شهرک سبحان خیابان جانباز میرزایی نبش کوچه 1مشاور املاک زمرد 
ما با بیش از 15 سال سابقه املاک داری در منطقه 9 طلاییه شما را در رساندن به ملک مورد نظرتان یاری میکنیم",https://divar.ir/v/فروش-آپارتمان-دوخوابه-ویو-عالی-طلاییه-نارنج/wZnalwkq,2025-02-15
باغشهر قره چمن,Not found,1٬000 متر,225٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باغشهر 1000 متری قره چمن با اخذ کلیه استعلامای مربوطه از جمله منابع طبیعی و‌ابخیز داری و …)
کاملا مسطح 
نزدیک مجتمع بزرگ سحر 
اطراف در حال ساخت 
قیمت منطقه 400
فقط 225 میلیون",https://divar.ir/v/باغشهر-قره-چمن/gZb27Umv,2025-02-15
فروش زمین 1027 متری در کمربندی خان زنیان,Not found,1٬027 متر,3٬200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,سند تک برگ آب هفته ای دیوار کشی درخت دوساله نقد یا با ماشین معامله می‌شود,https://divar.ir/v/فروش-زمین-۱۰۲۷-متری-در-کمربندی-خان-زنیان/wZv2q0zx,2025-02-15
آپارتمان 190 متری فول مشاعات قصرالدشت کلید نخورده,190,31٬000٬000٬000 تومان,163٬157٬000 تومان,3,1403,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"☑️3 خواب مستر دار
☑️کلید نخورده 
☑️کف سنگ 
☑️کناف کاری شده 
☑️پنجره قدی 
☑️نقشه طراحی شده 
☑️شیر آلات والهنگ 
☑️نورپردازی شده 
☑️متریال ساخت درجه یک 
✅امکانات رفاهی کامل 
✅استخر 
✅سونا 
✅سونای خشک
✅جکوزی 
✅سالن اجتماعات 
✅سالن سینما 
✅روف گاردن دیزاین شده

✅نوید ایزدی",https://divar.ir/v/آپارتمان-190-متری-فول-مشاعات-قصرالدشت-کلید-نخورده/wZqV8bR5,2025-02-15
زمین مسکونی ملکی جرسقان,Not found متر مربع,135 متر,1٬200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"زمین مسکونی
با نامه مجوز ساخت
کوچه پست بانک (کوچه گل سوسن)
صندوقی
ملکی
بر 10 متر
آب و برق پایه زمین
سلطان آباد
جرسقان
شهرک گلها",https://divar.ir/v/زمین-مسکونی-ملکی-جرسقان/wZLuuR53,2025-02-15
فروش منزل 2طبقه 220متری با مغازه 30متری کرونی,300 متر مربع,300,3٬480٬000٬000 تومان,4,1403,Not Found,Not Found,not found,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"⚜️به نام یزدان دانا و توانا⚜️ 
      ⚜️سلام و درود⚜️
 ____<<____
✨️املاک درکی✨️ 
❇️با بیش از 10سال سابقه درخشان با کادری مجرب و با تجربه در زمینه خرید و فروش آپارتمان، ویلایی، زمین و مشارکت در خدمت شما همشهریان عزیز میباشد❇️ 
⬅️راهنمای شما: عباسی
 _______
⬇️مشخصات فایل مورد نظر 
✔️منزل فوق به متراژ 220متر زمین
✔️زیر بنای هر واحد 150متر مربع
✔️دو طبقه
       ✅✅همراه با مغازه 30 متری✅✅
_______
✔️هر طبق 2خواب
✔️با کمد دیواری 
✔️سالن 50متری
✔️با انشعابات آب،برق،گاز
________ 
✔️شیک و خوش نقشه
✔️نورگیر عالی
________
✔️نزدیک به خیابان اصلی 
✔️دسترسی آسان به امکانات رفاهی
✔️طرح هادی ملکی 
________
❌️قابلیت رهن هر طبق تا 200میلیون ❌️  
________
⬇️فول امکانات
✔️کابینت 
✔️گاز صفحه ای 
✔️هود
✔️آبگرمکن
✔️کولر بزرگ
✔️منبع آب
✔️پمپ آب تمام اتوماتیک
✔️سینک ظرفشویی
✔️روشویی
✔️شیرآلات،نصبیات کامل و ..........

✅️با زیر قولنامه بنگاهی تا مالک همراه با کد رهگیری

✅️بازدید=عقد قرارداد 
✅️آدرس:کرونی کوچه مخابرات نبش فرعی اول   
سمت چپ املاک درکی✅️",https://divar.ir/v/فروش-منزل-2طبقه-220متری-با-مغازه-30متری-کرونی/gZN_mQvy,2025-02-15
