Title,PropertySize,TotalPrice,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
آپارتمان100متری/صیادشیرازی,100,3٬500٬000٬000 تومان,2,1397,Not Found,Not Found,not found,not found,"آپارتمان5طبقه10واحد/طبقه سوم

کف سرامیک

کابینتmdf

آسانسور

پکیچ/کولرگازی

نقاشی شده/کاغذدیواری

تراس انباری

پارکینگ اختصاصی

نورگیری بسیارعالی/واحدروبه آفتاب

ویوابدی 

خوابها تمام کمددیواری

نقشه بسیارعالی بدون پرتی

مواردمشابه

صیاد-103متری دوخواب طبقه اول آسانسور فول قیمت:3500

صیاد-113متری حاشیه20متری فول باتمامی امکانات بروزبسیارشیک قیمت:4300

صیاد-90متردوخواب طبقه چهارم پارکت-هایگلاس فول باتمامی امکانات قیمت:3500

صیاد-73متردوخواب طبقه اول پله سرامیک mdf نورگیری بسیارعالی قیمت:2450

مشاورشما:قاضی زاده
مسکن گاندی",https://divar.ir/v/آپارتمان۱۰۰متری-صیادشیرازی/wZwizVDo,2025-02-15
فروش آپارتمان 95 متری 3 خوابه,95,2٬500٬000٬000 تومان,3,1393,2,4,تعداد واحد در طبقه: ۳ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر گازی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"نورگیر عالی 
خوش نقشه 
قولنانه",https://divar.ir/v/فروش-آپارتمان-۹۵-متری-۳-خوابه/wZuyWR6N,2025-02-15
آپارتمان 70متری یک خواب   طبرسی شمالی,70,930٬000٬000 تومان,1,1403,3,3,تعداد واحد در طبقه: ۱ | سند: قول‌نامه‌ای | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | تأمین‌کننده آب گرم آبگرم‌کن,"با سلام 
آپارتمان طبقه 3
نور مخفی 
پشت میز تی وی شیک 
طبقه بالا یک خواب دیگه 
یک خواب 
شیک نوساز 
موقیعیت مکانی بسیار عالی 
آدرس طبرسی شمالی 56
آدرس بنگاه
 طبرسی شمالی 38
طباطبایی 24 پلاک 158 وسط پارک 
املاک صدرا 
مشاور شما احمدی",https://divar.ir/v/آپارتمان-70متری-یک-خواب-طبرسی-شمالی/wZwi0ZIr,2025-02-15
خرید فروش زمین حسین آباد جلدک صفی اباد,Not found,Not found,Not found,Not found,Not Found,Not Found,not found,not found,با سلام. خرید فروش زمین صفی اباد حسین آباد جلدک   املاک ماهان فرمانیه بین 8و10  با تشکر سپاس از شما.,https://divar.ir/v/خرید-فروش-زمین-حسین-آباد-جلدک-صفی-اباد/wZBAFmba,2025-02-15
آپارتمان مـتــ113ــردونبش نور،سـVIPـران،مسکن دربار,113,مجانی,2,1403,5,6,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"⚜ما اینجایم تا بهترین هارو به شما معرفی کنیم ⚜
➖➖➖➖➖➖
انتخاب خوب یک هنر است
➖➖➖➖➖➖➖➖➖
لوکس ترین و بی نظیر ترین واحد آپارتمان در منطقه 12 ((الهیه))
➖➖➖➖➖
سازه ایی بینظیر از لحاظ متریال و نقشه
➖➖➖➖➖➖➖➖➖➖
✳فول مشاعات هتلینگ 
لابی من هوشمند و نگهبانی در3 شیفت مجزا
طراحی نمای ساختمان به سبک مدرن
روف گاردن تماشایی و مجهز ((فضای بازی کودکان
باشگاه فول تجهیزات  
اتاق بیلیارد 
و خیلی امکانات مثال زدنی دیگر

✡ مشخصات داخلی
⭕متراژ ها 95و1و*و*و*و***و*40 میباشد 
⚫آشپزخانه تجهیز شده با کابینت هایی از برند تولیکا ⚪رنگ کاری سه لایه پلی اورتان ترک Filliboya
⚪متریال کف واحدها سنگ اسلب بیانکو در ابعاد 180در280
پنجره ها ترمال بریک برند Rainerse Design
 سیستم سرمایش چیلر فن کویل برند ایتالیایی clivet
و خیلی توضیحات دیگر
〰️〰️〰️〰️
شما عزیزان را به بازدید از پروژه لوکس سران دعوت میکنیم
〰️〰️〰️〰️〰️〰️〰️
در پایان با یک آفر جذاب به مدت محدود داریم براتون
****
⚜اعتبار موضوع بسیار مهمی برای ماست⚜

مهندس رمضان زاده،
نماینده رسمی سران vip
آدرس ما بین رحمانیه 28و30 مسکن دربار",https://divar.ir/v/آپارتمان-مـتــ113ــردونبش-نور-سـvipـران-مسکن-دربار/wZsyvh8U,2025-02-15
خونه ویلایی 2ونیم طبقه,62,62,3,1380,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"متراژ62/5متردر2/5طبقه ازهم کف باپارکینگ دوسرویس بهداشتی دوآشپزخانه حیاط پشت بام کف موکت
تماس فقط با این شماره
***********",https://divar.ir/v/خونه-ویلایی-2ونیم-طبقه/wZkmsJ0M,2025-02-15
آپارتمان 110 متر شیک و لوکس اول الهیه,110,3٬600٬000٬000 تومان,2,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"درود و احترام
واحد 110 متری بسیار شیک و لوکس
دو خواب نور
کار قوی
دو لاین آسانسور
بهترین مورد سرمایه گذاری
نئو کلاسیک
بهترین کوچه اوایل الهیه بهترین دسترسی های ممکن

جهت بازدید تماس بگیرید
ارادتمند:
ضمیری",https://divar.ir/v/آپارتمان-۱۱۰-متر-شیک-و-لوکس-اول-الهیه/wZwSWzTK,2025-02-15
آپارتمان 70 متری فروشی در برج های آسمان,70,2٬450٬000٬000 تومان,1,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"املاک توس گستر 
70 متری یک خواب صفر 
فول امکانات سیستم مرکزی 
نگهبانی 24 ساعته واحد تخلیه 
قابل رهن دادن تا سیصد میلیون",https://divar.ir/v/آپارتمان-70-متری-فروشی-در-برج-های-آسمان/wZba0iA4,2025-02-15
آپارتمان 90 متر سند آماده ملکی,90,2٬160٬000٬000 تومان,2,1393,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"بنام خدا 
✨️مسکن زیلان،پایان جستجو✨️
کد آگهی: 11
✅️ همین امروز تماس بگیرید شاید این خونه تا فردا فروخته شده باشه
✅️ آپارتمان 90 متر امیریه 31 مجتمع نگین
✅️ سند ملکی آماده انتقال 
✅️ قابلیت دریافت وام تا 900 میلیون و قابلیت رهن تا 300 میلیون که شما میتونید با نقدینگی حدود 1ملیارد تومان صاحب این واحد شوید 
آدرس دفتر: رحمانیه 5 بعد از میدان روبروی بخشی 3 مسکن زیلان ارادتمند حسین زاده",https://divar.ir/v/آپارتمان-۹۰-متر-سند-آماده-ملکی/wZciOBdl,2025-02-15
امامت نزدیک پارک دسترسی راحت و سریع نوساز,163,9٬150٬000٬000 تومان,3,1403,3,6,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"⚜️ امیدوارم به زودی بهترین و شیرین ترین فروش ، خرید و اجاره عمرتون رو با ما تجربه کنید ⚜️

 بنده محمد جلایی  مشاور تخصصی حوزه فروش سه خواب منطقه 11فعال در آژانس سراسری مسکن مداح هستم 

 مشخصات واحد 
✨سند آماده عرض کوچه 20متری مناسب ترین واحد منطقه امامت نزدیک حاشیه جنوبی دسترسی سریع و راحت به مترو پارک و بازار. 
-
✨مشاعات هتلی /همسایگان گلچین شده 
-
✨پذیرایی مناسب هرنوع چیدمان بدون فضای پرت داکت اسپیلت نورگیر قدی سرتاسری‌
-
✨اشپزخانه جزیره پرکابینت  بانو پسند نورگیر تراس سوپری 
-
✨هر سه خواب نورگیر قدی تراس مستر کلوزت لباس کمددیواری 
-
✨همچینن میتونیم برای سهولت در خرید شما این واحد به یک میلیارد و دویست رهن کامل فوری واگذاری داشته باشیم 
-
من محمدجلایی مشاور همیشه در دسترستون هستم. 
قبل از هر خریدی، 100% در صداقت و امنیت به صورت رایگان بهتون مشاوره میدم و شما رو به بهترین نتیجه مورد نظرتون می‌رسونم

☎️ همین الان تماس بگیرید، پاسخگو هستم. 

شعبه منطقه 1: بین بهار و بزرگمهر مجتمع تندیس  
شعبه منطقه 11: نبش استقلال 8

⚜️جامع ترین شبکه فایلینگ واحد صفر/ویلایی/مشارکت/رهن و اجاره مشهد⚜️",https://divar.ir/v/امامت-نزدیک-پارک-دسترسی-راحت-و-سریع-نوساز/wZwmUEpj,2025-02-15
اپارتمان 81متری رفیعی 3 بازسازی کامل,81,2٬450٬000٬000 تومان,2,1389,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"به نام خدا
        #  مسکن معظمی #
...............................................
باسلام
اپارتمان 81 متری
رفعیی 3
2خواب 
باسازی کامل 
پنجره دو جداره
پارکینگ 
انباری
کمد دیواری
نورگیری عالی همش پنجره
خیلی شیک 
سند شش دانگ ملکی
لطفا تماس بگیرین
.........................................
املاک معظمی فلاحی 34
محمدی",https://divar.ir/v/اپارتمان-۸۱متری-رفیعی-۳-بازسازی-کامل/wZwiElk7,2025-02-15
فروش واحدآپارتمان 50 متری وکالتی یک قدمی حرم,50,1٬800٬000٬000 تومان,1,1403,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ ندارد | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"فروش آپارتمان 50 متری 1 خوابه همکف در 17 شهریور  وکالتی و قولنامه ای ثبت در سامانه کاتب
کف سرامیک
کابینت MDF 
آسانسور 
گرمایش پکیج و رادیاتور و نصب شده 
سرمایش کولر گازی 
موقیت مکانی فوق‌العاده  
500 متری حرم 
معبر کوچه 20 متری 
جایی پارک بسیار زیاد 
مناسب برای زائرین  امام رضا 
کاغذ دیواری و پنل کوبی 
با سپاس از سایت دیوار",https://divar.ir/v/فروش-واحدآپارتمان-۵۰-متری-وکالتی-یک-قدمی-حرم/wZvCo8lr,2025-02-15
زمین سند تک برگ با آب شاهنامه گوارشک فردوسی,Not found,522 متر,Not found,Not found,Not Found,Not Found,not found,not found,"ارادت  با عرض ادب احترام سلام 



⚜️ زمین‌های  سند تک برگ   شهرک باغی 
شهرک 300 واحدی  با آینده ای روشن 
 دارای امکانات عالی   دوربین مدار بسته 
 آب شرب چندین نگهبانی فعال 
   
     سند تک برگ 
   


⚜️شرایط پرداخت و خرید متناسب‌ با شرایط شما 



✅️♈️⚜️شروع قیمت 110 م الی 20 میلیارد  ♈️✅️



♈️✅️آماده همکاری با مشاورین محترم هستیم


⚜️جهت کسب اطلاعات بیشتر با ما تماس بگیرید ⚜️



✅️سرمایه گذاری       ✅️درختکاری       ✅️ویلاسازی

         

تخصصی ترین مرکز خرید فروش زمین باغ باغچه ویلا



⚜️آدرس 3 راه فردوسی  بلوار شاهنامه   شاهنامه 80 
جاده  گوارشک      حومه آرامگاه فردوسی 

⚜️چندین لوکشین  متناسب‌  با امکانات




⚜️لوکشین دفتر فروش  داخل آگهی درج شده است ⚜️


⚜️بازدید همه روزه 9صبح الی 6 بعدظهر ⚜️


✅️پاسخگویی به تماس و مشاوره رایگان 
  8 صبح تا 12 شب منتظر تماس شما عزیزان هستیم",https://divar.ir/v/زمین-سند-تک-برگ-با-آب-شاهنامه-گوارشک-فردوسی/wZqCGx-Z,2025-02-15
آپارتمان 100 متری 2 خوابه طبقه 2 در ایثارگران,100,1٬600٬000٬000 تومان,2,1396,2,4,تعداد واحد در طبقه: ۱ | سند: قول‌نامه‌ای | جهت ساختمان: غربی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,100 متری دوخوابه طبقه 2 تک واحدی کف سرامیک گرمایش پکیج کابینت ام دی اف کولر آبی امتیازات مستقل ملک تخلیه  برای بازدید و هماهنگی تماس بگیرید با املاک محترم همکاری نداریم.,https://divar.ir/v/آپارتمان-۱۰۰-متری-۲-خوابه-طبقه-۲-در-ایثارگران/wZwiG7wf,2025-02-15
167متر صفر«امامت11» فروشنده سریع,165,9٬600٬000٬000 تومان,3,1403,3,6,تعداد واحد در طبقه: ۱ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"باسلام
امینی هستم مشاور تخصصی فروش

ملک فوق در یک لوکیشن عالی
دسترسی ها درجه یک
شیرآلات توکار
آشپزخانه دلباز و بزرگ
متریال برند با گارانتی رنگ و خرابی
آسانسور گیرلس

جهت سایر اطلاعات لطفاً تماس بگیرید
امینی",https://divar.ir/v/۱۶۷متر-صفر-امامت۱۱-فروشنده-سریع/wZiGQbZ6,2025-02-15
آپارتمان 180 متری سه خوابه (بزم ارا ),180,5٬200٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"آپارتمان 180 متری سه خوابه (بزم ارا)
باسلام واحترام
 ✔️✔️مکانیت عالی سر دونبش / غرق نور 
1️⃣سه خوابه _ نماسنگ تراورتن نورپردازی 
2️⃣پارکینگ اختصاصی/ سازه بسیار قوی ومحکم
3️⃣صفر / کابینت چوب/ تراس کاربردی 
4️⃣انباری / اسانسور 6 نفره/ گرمایش پکیج رادیاتور
5️⃣سرمایش کولر گازی /مشاعات سنگ 
6️⃣پنجره دوجداره ترمال / دیوار پوش نقاشی 
7️⃣هر سه اتاق خواب نور گیر عالی / اشکاف 
✔️✔️فروشنده واقعی = تخفیف پای قرارداد 
_____________________/
✅️❇️بااپارتمان کوچکتر در محدوده یا ویلایی معاوضه میگردد",https://divar.ir/v/آپارتمان-۱۸۰-متری-سه-خوابه-بزم-ارا/wZgpkCBg,2025-02-15
صارمی دونبش صفر/مسکن هاشمی,155,9٬700٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"سلام و عرض ادب 
____________
▪لوکیشن عالی 
▪️ملک دونبش حاشیه خیابان
▪لابی مجلل ورودی 
▪بسیار خوش نقشه
▪استفاده شده از بهترین متریال روز تماما اروپایی
▪مهندسی و سازه برند منطقه با رزومه برتر در منطقه
▪پارکینگ ها اختصاصی بدون مزاحمت
▪آسانسور گلد کدینگ ایتالیایی
▪انباری
▪تراس بزرگ و قابل چیدمان
▪پنجره های کف تا سقف ترمال بریک
▪سه خواب نورگیر 
▪دو خواب مستر
▪کابینت چوب مدرن و اشپز خانه بزرگ
▪هود و گاز روکار
▪سیستم داکت اسپیلت
■مناسب برای سرمایه گذاری
■زیر قیمت منطقه
■فروش بسیار فوری
■تخفیف پای قرار
■خریدار واقعی بازدید=خرید
_______________
مشاور شما:علی آبادی",https://divar.ir/v/صارمی-دونبش-صفر-مسکن-هاشمی/wZniAZLg,2025-02-15
اپارتمان فول دو خوابه صفر,135,3٬750٬000٬000 تومان,2,1403,7,7,تعداد واحد در طبقه: ۲ | سند: قول‌نامه‌ای | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"اپارتمان فول
پیلوت ، نما ، فیلتر ها سنگ
دارایه پارکینگ و انباری اسانسور
کوچه 20 متری حاشیه ملک 10 خوش نقشه 
 ده متر تراس بزرگ
گرمایش شوفاژ سرمایش کولر گازی 
پایه معامله تخفیف جزئی دارد 
مشاور املاک رحمانی",https://divar.ir/v/اپارتمان-فول-دو-خوابه-صفر/wZwSl6_i,2025-02-15
فروش آپارتمان 200 متری 3 خوابه نوساز صفر در سجادیه,200,6٬250٬000٬000 تومان,3,1403,5,5,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"☑️به نام خداوند بخشنده و مهربان 

☑️از مالک اصلی خریداری میفرمایید 

☑️یک واحد آپارتمان 200 متری نوساز

☑️دارای 3 خواب  تراس 

☑️2 تا حمام مستر  

☑️شیرالات گلد برند

☑️اتاق خواب ها دارای کمد دیواری 

☑️انباری بزرگ  اختصاصی 

☑️پارکینگ بزرگ 

☑️در بهترین منطقه الهیه سجادیه 

☑️آدرس: 

 ☑️بلوار سجادیه منجم 3 سمت چپ ساختمان مهدی",https://divar.ir/v/فروش-آپارتمان-200-متری-۳-خوابه-نوساز-صفر-در-سجادیه/wZnWV9GR,2025-02-15
