,title,propertysize,totalprice,roomcount,buildyear,floornumber,totalfloors,characteristics,features,exchangeable,description,url,crawldate,city,totalprice_int,buildyear_int,elevator,warehouse,parking,document_type,pricepermeter,predicted_neighborhood,text
4230,56 متر /  تک واحدی / پارکینگ دار / استاد معین,55.0,4٬250٬000٬000 تومان,1.0,1394,3.0,4.0,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,,"فرصت عالی برای سرمایه گذاری✔
متر 56
تکخواب
فضای وسیع اتاق خواب
خوش نقشه
دسترسی عالی
سالن پرده خور
مناسب برا سرمایه گذاری و سکونت
-----------------------------------------------------
امکانات:
پارکینگ سندی (غیر مزاحم)
آسانسور
انباری غیرسندی (کاذب)

--------‐--------------------------------------------
قابلیت دریافت وام حداکثری
فروشنده 100درصد

مبلغ پارکینگ جداگانه محاسبه می شود ✔

برای اطلاعات بیشتر تماس بگیرید
وظیفه ما دادن بهترین مشاوره به شماست
مشاور شما روغنی
املاک دی",https://divar.ir/v/56-متر-تک-واحدی-پارکینگ-دار-استاد-معین/wZn6hv3-,2025-02-15,tehran,4250000000.0,1394.0,Yes,No,Yes,تک‌برگ ,77272727.27272727,استاد معین,استاد معین
4231,93متر با پارکینگ خ جانبازان,93.0,6٬300٬000٬000 تومان,2.0,1380,2.0,4.0,تعداد واحد در طبقه: ۳ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی,,"93 متر 
با پارکینگ و انباری
باز سازی شده
خوش نقشه
لوکیشن عالی
دسترسی عالی ب مترو و مراکز خرید
 فروشنده واقعی
   مشاور شما توکلی",https://divar.ir/v/۹۳متر-با-پارکینگ-خ-جانبازان/wZw2V6z5,2025-02-15,tehran,6300000000.0,1380.0,No,Yes,Yes,,67741935.48387097,            پاسداران,            پاسداران
4232,140متر شمس آبادسه خوابه ودوپارکینگ,140.0,15٬000٬000٬000 تومان,3.0,1402,4.0,5.0,تعداد واحد در طبقه: ۴ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,,"با سلام ووقت بخیر 
140متر نوساز (کلید نخورده )
سه خوابه غرق در نور جنوبی
طبقه چهارم
سالن خوش نقشه وپرده خور 
آشپزخانه نیمه فرنیش 
کابینت های گلاس
کف سرامیک
سرویس ایرانی وفرنگی 
شیر آلات برند 
بالکن جنوبی وقابل چیدمان 
کمد دیواریهای بزرگ‌وجاکفشی وکمدرخت آویز بزرگ 
اعلان واطفاءحریق
سیستم داکت اسپلت 
دو  باکس پارکینگ سندی غیر مزاحم 

لابی بزرگ آینه کاری شده
ساختمان ترکیبی از بهترین سنگ وآجر
حیاط بزرگ وباغچه سرسبز و زیبا
ساختمان نورپردازی ونور مخفی کامل در شب 
لابی مبله وبزرگ 
سرایدار مقیم 
دسترسی آسان به مراکز خرید وبزرگراهها
تخفیف ویژه در جلسه
ملک 90متری طبقه اول با دو پارکینگ سندی  هم موجود هستش",https://divar.ir/v/۱۴۰متر-شمس-آبادسه-خوابه-ودوپارکینگ/gZqJKwrJ,2025-02-15,tehran,15000000000.0,1402.0,Yes,Yes,Yes,,107142857.14285715,شمیران,شمیران
4233,فروش آپارتمان 40 متری 1 خوابه طبقه 4 در زنجان,40.0,2٬650٬000٬000 تومان,1.0,1382,4.0,4.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,,موقعیت عالی برای خرید و سرمایه گذاری,https://divar.ir/v/فروش-آپارتمان-۴۰-متری-۱-خوابه-طبقه-۴-در-زنجان/wZwS2gmZ,2025-02-15,tehran,2650000000.0,1382.0,No,Yes,No,تک‌برگ ,66250000.0,زنجان,زنجان
4235,135 متر /تک واحدی /8 ساله,135.0,15٬300٬000٬000 تومان,3.0,1396,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"135 متر 
3 خواب 
نقشه کاملا مهندسی و سازنده برند 
تک واحدی 
متریال عالی 
لوکیشن خوب 
بازدید===قرار داد 
قیمت عالی ....
املاک کفی منطقه",https://divar.ir/v/135-متر-تک-واحدی-8-ساله/wZwi1z2u,2025-02-15,tehran,15300000000.0,1396.0,Yes,Yes,Yes,,113333333.33333333,              تهران,              تهران
4236,فروش آپارتمان 54 متری 1 خوابه همکف در تهران‌سر,54.0,4٬450٬000٬000 تومان,1.0,1383,,,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,,"پارکینگ

انباری

کابینت هایگلاس

کف پارکت

روبه نما

فول باسازی شده

10 متر حیاط خلوط

لوکیشن اصلی 

مشاور ملکی شما: اسفندیاری

املاک بزرگ آلاچیق",https://divar.ir/v/فروش-آپارتمان-۵۴-متری-۱-خوابه-همکف-در-تهران-سر/wZwu1bd-,2025-02-15,tehran,4450000000.0,1383.0,No,Yes,Yes,,82407407.4074074,تهرانسر,تهرانسر
4237,92متری/فول امکانات/استادمعین,95.0,7٬000٬000٬000 تومان,2.0,1399,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"هوالرزاق

✅92متری  ✅2خواب تخت خور

✅امکانات=
✅پارکینگ سندی(غیرمزاحم)
✅انباری
✅تراس

✅لوکیشن بی نظیر
✅گذر 8متری
✅دسترسی عالی

✅سند تک برگ
✅مالک فروشنده واقعی
✅بازدید=100٪؜پسند

✅فوق العاده خوش نقشه
✅سالن سرتاسر پرده خور
✅بحر اصلی

✅کابینت ممبران ترک
✅سرویس گرمایشی (پکیج)
قیمت پارکینگ طبق عرف

✅قابلیت رهن یک میلیارد 
✅قابلیت دریافت وام

✅بازدید با هماهنگی

اخرین فرصت ها برای خرید تا قبل سال جدید

فقط ملک های به قیمت و زیر قیمت کارشناسی میشود

کارشناس منطقه=
کهندانی


هلدینگ درویش",Not Found,2025-02-15,tehran,7000000000.0,1399.0,Yes,Yes,Yes,,73684210.5263158,استاد معین,استاد معین
4238,113متر 2خواب ریحانی  فول امکانات نوساز(رو به آفتاب,113.0,18٬000٬000٬000 تومان,2.0,1403,5.0,5.0,تعداد واحد در طبقه: ۲ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,,"نوساز
ورودی از حیاط و لابی
رو به آفتاب و سالن پرده خور
خوش نقشه
طبقه 5 (آخر)
هر طبقه 2 واحد
پارکینگ-انباری-آسانسور
هر دو اتاق دارای کمد دیواری
کف سنگ
کابینتها هایگلاس
سرویس بهداشتی ایرانی و فرنگی
داکت اسپیلت
پکیج
بالکن
آماده تحویل و سکونت

✔10 درصد از مبلغ کل ثمن معامله بابت صدور سند تک برگی در دفترخانه

✔قابلیت رهن کامل تا مبلغ 2 میلیارد تومان

⛔لطفا همکاران محترم املاکی تماس نگیرند⛔

با تشکر
فراهانی",https://divar.ir/v/۱۱۳متر-۲خواب-ریحانی-فول-امکانات-نوساز-رو-به-آفتاب/wZOWwquU,2025-02-15,tehran,18000000000.0,1403.0,Yes,Yes,Yes,,159292035.39823008,قلهک,قلهک
4240,اپارتمان نوساز,120.0,10٬600٬000٬000 تومان,2.0,1403,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,6 طبقه تک واحد,https://divar.ir/v/اپارتمان-نوساز/wZwS1aJC,2025-02-15,tehran,10600000000.0,1403.0,Yes,Yes,Yes,,88333333.33333333,               آبشار,               آبشار
4241,ویو همیشه/بازسازی ژورنالی/تخلیه/فول امکانات/,106.0,12٬725٬000٬000 تومان,2.0,1393,4.0,5.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | تأمین‌کننده آب گرم پکیج,,"فقط پول نقد و فقط پرداختی عالی
تخفیف جزئی پای نشست دارد
فروشنده واقعی
106 متر 2 خ فول تخلیه طبقه چهارم
قابلیت رهن کامل 1700
و دریافت همه وام ها
بهترین خرید سال
فروشنده واقعی",https://divar.ir/v/ویو-همیشه-بازسازی-ژورنالی-تخلیه-فول-امکانات/wZsKnbP2,2025-02-15,tehran,12725000000.0,1393.0,Yes,Yes,Yes,تک‌برگ ,120047169.81132075,آزادی,آزادی
4242,75متر2 خواب شهرک راه‌‌آهن /دهکده/ هوانیروز,75.0,6٬300٬000٬000 تومان,2.0,1389,1.0,4.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,,"❌️فروش فوری 

❌️سند تک برگ 
شخصی ساز 
75 متر 2 خواب 
طبقه اول سندی 
خوش نقشه   فول بازسازی
پرده خور   آفتابگیر 

پارکینگ سندی    انباری   بالکن

آماده رهن تا 800 میلیون 

امکان دریافت وام مسکن

       ⚜️ راما با نیم قرن تجربه ⚜️

خانم زرگر",https://divar.ir/v/۷۵متر۲-خواب-شهرک-راه-آهن-دهکده-هوانیروز/wZwyljlA,2025-02-15,tehran,6300000000.0,1389.0,No,Yes,Yes,تک‌برگ ,84000000.0,شهرک راهآهن,شهرک راهآهن
4243,فروش آپارتمان 105 متری 2 خوابه جهانتاب,105.0,17٬500٬000٬000 تومان,2.0,1385,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"✅105 متر قیطریه جنوبی

✅نورو نقشه بی نظیر

✅فول نوسازی شده

✅دنج ترین لوکیشن منطقه

✅اتاق وسالن پرده خور

✅سرایداری مقیم

✅با امکانات کامل

✅کلید در اختیار",https://divar.ir/v/فروش-آپارتمان-۱۰۵-متری-۲-خوابه-جهانتاب/wZveiC6s,2025-02-15,tehran,17500000000.0,1385.0,Yes,Yes,Yes,,166666666.66666666,قیطریه,قیطریه
4246,آپارتمان 64 متری، تاپ لوکیشن، غرق نور,64.0,4٬850٬000٬000 تومان,2.0,1378,4.0,4.0,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,,"توجه                    توجه
    ⭐بهترین فرصت برای یک خرید فوق‌العاده⭐
✅نور و نقشه جذاب
✅گذر عریض و مشجر
✅زیر قیمت منطقه
✅مشاعات بسیار تمیز
✅بدون مورد مشابه
✅بازدید=پسند قطعی شما
✅تماس=اطلاعات ویژه
✅فقط و فقط تماس بگیرید
            مالک، فروشنده واقعی
مشاور منطقه آرین",https://divar.ir/v/آپارتمان-64-متری-تاپ-لوکیشن-غرق-نور/wZEOcWYy,2025-02-15,tehran,4850000000.0,1378.0,No,Yes,No,تک‌برگ ,75781250.0,آریان,آریان
4247,94متر2خوابه... شهرآرا,94.0,12٬400٬000٬000 تومان,2.0,1390,5.0,5.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,,"☪️به نام خدا☪️ 

✅بهترین زمان خرید قبل از سال جدید و گرونی ملک
✅بهترین ملک با نقشه و نورگیر عالی در بهترین فرعی 
✅تخلیه آماده انتقال سند فروشنده واقعی دراین بازار 
✅فرصت رو از دست ندهید و تماس بگیرید بازدید=خرید

⏪94متر2خوابه
⏪طبقه پنجم 
⏪فول امکانات 
⏪نور و نقشه عالی 
⏪بازسازی شده 
⏪فرعی خوب با دسترسی‌ محلی عالی 
⏪سالن عالی با چیدمان خوب مربع 
⏪اتاق خواب های بزرگ با کمد دیواری های جادار 
⏪هم سالن وهم خواب ها نورگیر عالی 
⏪تخیله آماده نشستن 
⏪کلید نزد مشاور 
⏪فایل شخصی 
⏪بازدید آزاد با هماهنگی قبلی 

✅درصورت رهن واحد 1500ازطرف املاک✅

⏮️بهترین فایل های منطقه روازمابخواهید⏭️ 

◼️مشاور شما.... هاشمی◼️
◼️املاک ایران زمین پاتریس◼️",https://divar.ir/v/۹۴متر۲خوابه-شهرآرا/wZweGP2_,2025-02-15,tehran,12400000000.0,1390.0,Yes,Yes,Yes,تک‌برگ ,131914893.61702128,شهرآرا,شهرآرا
4248,آپارتمان126متر3خواب/سرتاسر پرده خور/شرق مرزداران,126.0,19٬000٬000٬000 تومان,3.0,1399,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"✅الان وقت خریدِ زیر قیمت منطقه (( مناسب سرمایه گذاری و سکونت ))
بسیار خوش نقشه / سند تکبرگ شخصی/ لوکیشن و دسترسی عالی 

✅واحد 100٪ شخصی (( کلید نزد مشاور شما میرزایی )) 

✳️126 متر 3 خواب / 5 سال ساخت در حد نوساز
سالن و اتاق ها و اشپزخانه سرتاسر نور روبه فضای سبز
امکانات ( پارکینگ / آسانسور / تراس / انباری )
ورودی از لابی + سرایدار مقیم 
لوکیشن عالی / بازدید آزاد",https://divar.ir/v/آپارتمان۱۲۶متر۳خواب-سرتاسر-پرده-خور-شرق-مرزداران/wZQqbyf7,2025-02-15,tehran,19000000000.0,1399.0,Yes,Yes,Yes,,150793650.7936508,مرزداران,مرزداران
4249,فروش آپارتمان 61 متری 1 خوابه در ازگل,61.0,10٬200٬000٬000 تومان,1.0,1394,5.0,5.0,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن ندارد | جنس کف کفپوش PVC | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,,"سند شخصی تکبرگ واحد در حد کلید نخورده سند تکبرگ شخصی نور خوب نقشه عالی بهترین واحد برای سرمایه گذاری
یک میلیاردو دویست میلیون هم رهن میرود",https://divar.ir/v/فروش-آپارتمان-۶۱-متری-۱-خوابه-در-ازگل/wZwaWQo2,2025-02-15,tehran,10200000000.0,1394.0,Yes,Yes,Yes,تک‌برگ ,167213114.75409836,ازگل,ازگل
4252,آپارتمان 50 متر پیروزی (مخبر شمالی),50.0,3٬500٬000٬000 تومان,1.0,1399,1.0,4.0,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ ندارد | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,,"آپارتمان 50 متر خوش نقشه 

   4 طبقه تک واحدی 

   طبقه اول 

   کابینت ام دی اف 

   گاز رومیزی و هود 

   کف سرامیک 

    انباری سندی 

    سالن بزرگ  

    چیدمان خوب

    حمام مستر 

    محله دنج و آرام 

   دسترسی های آسان به مترو مراکز خرید 

   500 میلیون در رهن میباشد

   قابلیت وام‌ 960 میلیون 

  دومیلیارد و چهل میلیون صاحب خانه شوید

  مشاور شما ابراهیمی",https://divar.ir/v/آپارتمان-۵۰-متر-پیروزی-مخبر-شمالی/wZdauUxM,2025-02-15,tehran,3500000000.0,1399.0,Yes,Yes,No,تک‌برگ ,70000000.0,پیروزی,پیروزی
4253,115متر («شمس آباد بهشتی») 2پارکینگ سندی 2طرف نور,115.0,12٬350٬000٬000 تومان,2.0,1390,5.0,5.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ,,"⚜️ درود فراوان خدمت شما متقاضیان گرامی

▪️115متری 2 خواب ، بازسازی 0 تا 100 
▪️طبقه پنجم ، بدون مشرف
▪️2پارکینگ سندی باکس
▪️ آسانسور انباری بالکن 
▪️نما و مشاعات بسیار تمیز 

❄️ سالن یه تیکه پرده خور 
❄️ فضای مناسب برای انواع چیدمان
❄️ 2 خواب کاربردی با کمد فراوان
❄️ دسترسی عالی مراکز خرید و خدماتی 
❄️ سند تک برگ ، آماده انتقال

▪️مشاور شما در منطقه : متین 
☎️ پاسخگویی 8 الی 23 حتی روزهای تعطیل
⭐ 3 فایل دیگر هم برای شما داریم .",https://divar.ir/v/۱۱۵متر-شمس-آباد-بهشتی-۲پارکینگ-سندی-۲طرف-نور/wZHyV1rY,2025-02-15,tehran,12350000000.0,1390.0,Yes,Yes,Yes,تک‌برگ ,107391304.3478261,شمیران,شمیران
